reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x1400033c8	0x140003880	string	0x140003260	\e\e\e\e
0x140003ace	0x1400e2ec0	import	0x1400037c0	KERNEL32.dll.RtlVirtualUnwind
0x140004da6	0x140004de4	string	0x140004ab0	ͦU\f2>Y blocks=Combining Diacritical Marks,Basic Latin
0x140004f85	0x1400e2ec0	import	0x140004ab0	KERNEL32.dll.RtlVirtualUnwind
0x140005fbf	0x140007666	string	0x1400057a0	SUATAUAVAWA
0x1400086a2	0x1400e2ec0	import	0x140008180	KERNEL32.dll.RtlVirtualUnwind
0x1400086f0	0x140008730	string	0x140008180	SUATAUAVAWI
0x1400086fa	0x140008730	string	0x140008180	SUATAUAVAWI
0x14000871b	0x140008fa6	string	0x140008180	SUATAUAVAWE
0x140008a07	0x140009226	string	0x140008180	SUATAUAVAWA
0x1400097bf	0x140009830	string	0x140008180	VWSUATAUAVAW
0x140009931	0x1400e2ec0	import	0x140008180	KERNEL32.dll.RtlVirtualUnwind
0x14000c3fc	0x1400e2ec0	import	0x14000ba00	KERNEL32.dll.RtlVirtualUnwind
0x14000ecc7	0x1400e2ec0	import	0x14000e480	KERNEL32.dll.RtlVirtualUnwind
0x1400139a8	0x1400e2ec0	import	0x14000ed00	KERNEL32.dll.RtlVirtualUnwind
0x140019a88	0x1400d17a8	string	0x140019a84	vector
0x140019ab6	0x1400d2850	string	0x140019a98	NotificationHelperMetrics
0x140019add	0x140055140	string	0x140019a98	VWSH
0x140019ae6	0x140044610	string	0x140019a98	AWAVAUATVWUSH
0x140019af2	0x1400d27b8	string	0x140019a98	embedding
0x140019af9	0x140045990	string	0x140019a98	AWAVATVWSH
0x140019b13	0x140059f94	string	0x140019a98	AWAVAUATVWUSH
0x140019b20	0x14001daf8	string	0x140019a98	AVVWSH
0x140019b3c	0x140019d00	string	0x140019a98	AVVWSH
0x140019b59	0x14005ad6c	string	0x140019a98	AWAVAUATVWUSH
0x140019b87	0x1400481b0	string	0x140019a98	AWAVATVWSH
0x140019bbe	0x1400e2d88	import	0x140019a98	KERNEL32.dll.HeapSetInformation
0x140019bf9	0x1400d6bc0	string	0x140019a98	disable-breakpad
0x140019c00	0x140045990	string	0x140019a98	AWAVATVWSH
0x140019c3f	0x140054230	string	0x140019a98	AWAVATVWSH
0x140019c4c	0x14001a2b0	string	0x140019a98	VWSH
0x140019c5c	0x140052680	string	0x140019a98	VWSH
0x140019c6c	0x1400d27c2	string	0x140019a98	Notifications.NotificationHelper.ServerRuntime
0x140019c87	0x1400540c0	string	0x140019a98	AVVWSH
0x140019ccf	0x140043d80	string	0x140019a98	AWAVAUATVWSH
0x140019cdc	0x140055220	string	0x140019a98	AVVWSH
0x140019cec	0x1400952e0	string	0x140019a98	H;\rQ}
0x140019d6c	0x14005ad6c	string	0x140019d00	AWAVAUATVWUSH
0x140019d7c	0x140058fa9	string	0x140019d00	AWAVAUATVWSH
0x140019d91	0x1400d2810	string	0x140019d00	notification-helper
0x140019db5	0x1400577ec	string	0x140019d00	VWUSH
