reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4013ea	0x477018	import	0x4013e0	ADVAPI32.dll.RegCloseKey
0x401434	0x477160	import	0x401410	KERNEL32.dll.GetModuleHandleW
0x40144b	0x477164	import	0x401410	KERNEL32.dll.GetProcAddress
0x401484	0x477004	import	0x401410	ADVAPI32.dll.RegOpenKeyExW
0x401497	0x477018	import	0x401410	ADVAPI32.dll.RegCloseKey
0x4014dd	0x477064	import	0x4014c0	ADVAPI32.dll.RegQueryValueExW
0x401528	0x477064	import	0x401500	ADVAPI32.dll.RegQueryValueExW
0x40158f	0x477170	import	0x401580	KERNEL32.dll.GetLastError
0x40159f	0x47733c	import	0x401580	OLEAUT32.dll.SysStringLen
0x4015d4	0x477174	import	0x401580	KERNEL32.dll.SetLastError
0x40163d	0x477064	import	0x4015e0	ADVAPI32.dll.RegQueryValueExW
0x40165d	0x477018	import	0x4015e0	ADVAPI32.dll.RegCloseKey
0x401737	0x477170	import	0x401670	KERNEL32.dll.GetLastError
0x40173d	0x477174	import	0x401670	KERNEL32.dll.SetLastError
0x4017f5	0x477170	import	0x401670	KERNEL32.dll.GetLastError
0x40187b	0x4772d8	import	0x401670	KERNEL32.dll.GetModuleFileNameW
0x40192c	0x477170	import	0x401670	KERNEL32.dll.GetLastError
0x401940	0x47733c	import	0x401670	OLEAUT32.dll.SysStringLen
0x401987	0x477174	import	0x401670	KERNEL32.dll.SetLastError
0x40199a	0x477170	import	0x401670	KERNEL32.dll.GetLastError
0x4019e3	0x477174	import	0x401670	KERNEL32.dll.SetLastError
0x4019f2	0x477018	import	0x401670	ADVAPI32.dll.RegCloseKey
0x401a86	0x477178	import	0x401a20	KERNEL32.dll.CreateFileW
0x401a99	0x477170	import	0x401a20	KERNEL32.dll.GetLastError
0x401aa9	0x47733c	import	0x401a20	OLEAUT32.dll.SysStringLen
0x401ae0	0x477174	import	0x401a20	KERNEL32.dll.SetLastError
0x401b18	0x47719c	import	0x401a20	KERNEL32.dll.ReadFile
0x401b5b	0x4772e8	import	0x401a20	KERNEL32.dll.WriteFile
0x401b92	0x4772e8	import	0x401a20	KERNEL32.dll.WriteFile
0x401bb3	0x477170	import	0x401a20	KERNEL32.dll.GetLastError
0x401bf4	0x477174	import	0x401a20	KERNEL32.dll.SetLastError
0x401c66	0x477170	import	0x401c20	KERNEL32.dll.GetLastError
0x401c81	0x477174	import	0x401c20	KERNEL32.dll.SetLastError
0x401d0a	0x4771e4	import	0x401c20	KERNEL32.dll.GetDateFormatW
0x401daa	0x4771e0	import	0x401c20	KERNEL32.dll.GetTimeFormatW
0x401e67	0x477170	import	0x401c20	KERNEL32.dll.GetLastError
0x401e7b	0x47733c	import	0x401c20	OLEAUT32.dll.SysStringLen
0x401ee6	0x477170	import	0x401c20	KERNEL32.dll.GetLastError
0x401f5f	0x477170	import	0x401c20	KERNEL32.dll.GetLastError
0x401fd8	0x477170	import	0x401c20	KERNEL32.dll.GetLastError
0x402051	0x477170	import	0x401c20	KERNEL32.dll.GetLastError
0x4020cd	0x477170	import	0x401c20	KERNEL32.dll.GetLastError
0x4021e5	0x477170	import	0x401c20	KERNEL32.dll.GetLastError
0x40225e	0x477170	import	0x401c20	KERNEL32.dll.GetLastError
0x4022d1	0x477170	import	0x401c20	KERNEL32.dll.GetLastError
0x40232f	0x477170	import	0x401c20	KERNEL32.dll.GetLastError
0x40248b	0x477170	import	0x402410	KERNEL32.dll.GetLastError
0x40249b	0x47733c	import	0x402410	OLEAUT32.dll.SysStringLen
0x4024d2	0x477174	import	0x402410	KERNEL32.dll.SetLastError
0x40259f	0x477170	import	0x402580	KERNEL32.dll.GetLastError
0x4025cf	0x477174	import	0x402580	KERNEL32.dll.SetLastError
0x402630	0x477170	import	0x4025e0	KERNEL32.dll.GetLastError
0x4026a8	0x477174	import	0x4025e0	KERNEL32.dll.SetLastError
0x40270f	0x477170	import	0x4026d0	KERNEL32.dll.GetLastError
0x402795	0x477174	import	0x4026d0	KERNEL32.dll.SetLastError
0x402818	0x477174	import	0x4026d0	KERNEL32.dll.SetLastError
0x4028a6	0x47733c	import	0x4026d0	OLEAUT32.dll.SysStringLen
0x4028e4	0x477174	import	0x4026d0	KERNEL32.dll.SetLastError
0x4029a7	0x477170	import	0x402970	KERNEL32.dll.GetLastError
