reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x140001045	0x140014cb0	string	0x140001000	AWAVVWSH
0x1400010a3	0x140003024	string	0x140001000	VWSH
0x1400010d9	0x14008f010	string	0x140001000	../../chrome/elevation_service/elevation_service.cc
0x1400010f7	0x140016670	string	0x140001000	AVVWUSH
0x140001104	0x14008f044	string	0x140001000	Failed to initialize COM
0x14000110b	0x140001148	string	0x140001000	AWAVATVWUSH
0x140001113	0x1400167b0	string	0x140001000	VWSH
0x140001137	0x14006c320	string	0x140001000	H;\r!P
0x1400012bb	0x14006c320	string	0x140001148	H;\r!P
0x14000143a	0x14006c320	string	0x14000139e	H;\r!P
0x140001472	0x14008f088	string	0x14000144a	ios_base::eofbit set
0x140001479	0x14008f072	string	0x14000144a	ios_base::failbit set
0x140001486	0x14008f05d	string	0x14000144a	ios_base::badbit set
0x1400014c4	0x140001824	string	0x14000144a	AVVWSH
0x1400014e3	0x14006c320	string	0x14000144a	H;\r!P
0x1400016a6	0x1400016d8	string	0x140001680	AWAVATVWSH
0x1400017da	0x14008f09d	string	0x1400017d6	string too long
0x140001869	0x140001680	string	0x140001824	VWSH
0x14000189f	0x14006c320	string	0x140001824	H;\r!P
0x14000194a	0x1400019a0	string	0x1400018fe	VWSH
0x14000198e	0x14006c320	string	0x1400018fe	H;\r!P
0x1400019d6	0x140001a50	string	0x1400019a0	VWSH
0x140001a06	0x140001a50	string	0x1400019a0	VWSH
0x140001a3f	0x14006c320	string	0x1400019a0	H;\r!P
0x140001a7b	0x140001ab0	string	0x140001a50	AWAVAUATVWUSH
0x140001d4b	0x1400b2678	import	0x140001d28	ole32.dll.CoImpersonateClient
0x140001d7c	0x1400b26a8	import	0x140001d28	ole32.dll.CoRevertToSelf
0x140001db4	0x14001b2c0	string	0x140001d28	VWSH
0x140001dcf	0x1400abac8	import	0x140001d28	KERNEL32.dll.GetLastError
0x140001dfc	0x14001b2c0	string	0x140001d28	VWSH
0x140001e28	0x14006c320	string	0x140001d28	H;\r!P
0x140001e78	0x140013d30	string	0x140001e37	VWSH
0x140001e8b	0x14001a940	string	0x140001e37	VWSH
0x140001ec1	0x1400aba68	import	0x140001e37	KERNEL32.dll.GetCurrentProcess
0x140001ee5	0x1400ab9c8	import	0x140001e37	KERNEL32.dll.DuplicateHandle
0x140001ef7	0x140001f54	string	0x140001e37	VWSH
0x140001efe	0x1400abac8	import	0x140001e37	KERNEL32.dll.GetLastError
0x140001f3c	0x14006c320	string	0x140001e37	H;\r!P
0x140001f66	0x1400abac8	import	0x140001f54	KERNEL32.dll.GetLastError
0x140001f96	0x1400263d0	string	0x140001f54	AWAVVWSH
0x140001fa4	0x1400abcf0	import	0x140001f54	KERNEL32.dll.SetLastError
0x140001ff4	0x1400275c0	string	0x140001fb4	AWAVAUATVWUSH
0x140002014	0x140013750	string	0x140001fb4	AWAVATVWUSH
0x14000201f	0x1400275c0	string	0x140001fb4	AWAVAUATVWUSH
0x14000205e	0x14006c320	string	0x140001fb4	H;\r!P
0x1400020aa	0x140019370	string	0x14000206f	AWAVVWUSH
0x1400020ca	0x140010b90	string	0x14000206f	AWAVAUATVWUSH
0x1400020da	0x140010b90	string	0x14000206f	AWAVAUATVWUSH
0x1400020df	0x14008f100	string	0x14000206f	ChromeRecovery
0x140002101	0x1400112d0	string	0x14000206f	AWAVVWSH
0x140002138	0x1400abac8	import	0x14000206f	KERNEL32.dll.GetLastError
0x14000216f	0x14006c320	string	0x14000206f	H;\r!P
0x1400021a9	0x14000206f	string	0x140002185	AWAVVWSH
0x1400021b7	0x140001fb4	string	0x140002185	VWSH
0x1400021d4	0x14006c320	string	0x140002185	H;\r!P
0x140002254	0x14008f11e	string	0x140002250	vector<T> too long
0x1400022b1	0x140026410	string	0x14000228a	AWAVVWSH
0x1400022fc	0x140026410	string	0x1400022cc	AWAVVWSH
0x140002372	0x1400b26c8	import	0x14000230c	ole32.dll.IIDFromString
0x14000238a	0x1400026ae	string	0x14000230c	VWSH
0x140002412	0x1400027ce	string	0x14000230c	VWSH
0x140002421	0x1400916f0	string	0x14000230c	Commands
0x140002439	0x1400027ce	string	0x14000230c	VWSH
0x1400024a0	0x1400027ce	string	0x14000230c	VWSH
0x1400024ec	0x140091710	string	0x14000230c	CommandLine
0x14000250c	0x140002cc0	string	0x14000230c	VWSH
0x14000251f	0x14000271d	string	0x14000230c	VWSH
0x140002581	0x140002cc0	string	0x14000230c	VWSH
0x140002594	0x14000271d	string	0x14000230c	VWSH
0x1400025c2	0x140001d28	string	0x14000230c	VWSH
0x140002626	0x140001e37	string	0x14000230c	AWAVATVWSH
0x140002654	0x140001f54	string	0x14000230c	VWSH
0x14000268a	0x14006c320	string	0x14000230c	H;\r!P
0x1400027be	0x14006c320	string	0x14000271d	H;\r!P
0x1400027f9	0x140002834	string	0x1400027ce	AWAVAUATVWUSH
0x140002a04	0x140002a10	string	0x1400029cc	AWAVATVWUSH
0x140002b5e	0x140002bae	string	0x140002b3a	AWAVATVWSH
0x140002ce6	0x140002d1c	string	0x140002cc0	AWAVATVWSH
0x140002f6c	0x1400abbd8	import	0x140002f6c	KERNEL32.dll.InitializeCriticalSectionAndSpinCount
0x14000306d	0x14008f190	string	0x140003024	../../chrome/elevation_service/service_main.cc
0x140003088	0x1400153b0	string	0x140003024	VWUSH
0x140003092	0x14008f1bf	string	0x140003024	No positional parameters expected.
