reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x1400033c8	0x140003880	string	0x140003260	\e\e\e\e
0x140003ace	0x1400e34b0	import	0x1400037c0	KERNEL32.dll.RtlVirtualUnwind
0x140004da6	0x140004de4	string	0x140004ab0	ͦU\f2>Y blocks=Combining Diacritical Marks,Basic Latin
0x140004f85	0x1400e34b0	import	0x140004ab0	KERNEL32.dll.RtlVirtualUnwind
0x140005fbf	0x140007666	string	0x1400057a0	SUATAUAVAWA
0x1400086a2	0x1400e34b0	import	0x140008180	KERNEL32.dll.RtlVirtualUnwind
0x1400086f0	0x140008730	string	0x140008180	SUATAUAVAWI
0x1400086fa	0x140008730	string	0x140008180	SUATAUAVAWI
0x14000871b	0x140008fa6	string	0x140008180	SUATAUAVAWE
0x140008a07	0x140009226	string	0x140008180	SUATAUAVAWA
0x1400097bf	0x140009830	string	0x140008180	VWSUATAUAVAW
0x140009931	0x1400e34b0	import	0x140008180	KERNEL32.dll.RtlVirtualUnwind
0x14000c3fc	0x1400e34b0	import	0x14000ba00	KERNEL32.dll.RtlVirtualUnwind
0x14000ecc7	0x1400e34b0	import	0x14000e480	KERNEL32.dll.RtlVirtualUnwind
0x1400139a8	0x1400e34b0	import	0x14000ed00	KERNEL32.dll.RtlVirtualUnwind
0x140019a88	0x1400d1bd0	string	0x140019a84	vector
0x140019ab6	0x1400d2cf0	string	0x140019a98	NotificationHelperMetrics
0x140019add	0x140055000	string	0x140019a98	VWSH
0x140019ae6	0x1400448f0	string	0x140019a98	AWAVAUATVWUSH
0x140019af2	0x1400d2c58	string	0x140019a98	embedding
0x140019af9	0x140045c90	string	0x140019a98	AWAVATVWSH
0x140019b13	0x14005a0f4	string	0x140019a98	AWAVAUATVWUSH
0x140019b20	0x14001e0ec	string	0x140019a98	AVVWSH
0x140019b3c	0x140019d00	string	0x140019a98	AVVWSH
0x140019b59	0x14005b0b0	string	0x140019a98	AWAVAUATVWUSH
0x140019b87	0x1400483e0	string	0x140019a98	AWAVATVWSH
0x140019bbe	0x1400e3378	import	0x140019a98	KERNEL32.dll.HeapSetInformation
0x140019bf9	0x1400d6f50	string	0x140019a98	disable-breakpad
0x140019c00	0x140045c90	string	0x140019a98	AWAVATVWSH
0x140019c3f	0x140054180	string	0x140019a98	AVVWSH
