reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x1400010a9	0x140017548	string	0x1400010a0	kernel32.dll
0x1400010b0	0x140011048	import	0x1400010a0	KERNEL32.dll.GetModuleHandleW
0x1400010b9	0x1400174a0	string	0x1400010a0	SetDllDirectoryW
0x1400010c0	0x140011040	import	0x1400010a0	KERNEL32.dll.GetProcAddress
0x1400010d4	0x140011038	import	0x1400010a0	KERNEL32.dll.GetCommandLineW
0x1400010f8	0x140011310	import	0x1400010a0	ole32.dll.CoInitialize
0x140001194	0x140017490	string	0x1400010a0	/help
0x1400011f7	0x140011048	import	0x1400010a0	KERNEL32.dll.GetModuleHandleW
0x14000120c	0x1400112d8	import	0x1400010a0	USER32.dll.LoadCursorW
0x140001225	0x1400174c8	string	0x1400010a0	dopus.nondpiaware.helphelper
0x140001247	0x1400112d0	import	0x1400010a0	USER32.dll.RegisterClassW
0x140001294	0x1400112c8	import	0x1400010a0	USER32.dll.CreateWindowExW
0x1400012b2	0x1400112c0	import	0x1400010a0	USER32.dll.SetTimer
0x1400012c5	0x1400112b8	import	0x1400010a0	USER32.dll.GetMessageW
0x1400012d5	0x1400112b0	import	0x1400010a0	USER32.dll.TranslateMessage
0x1400012e0	0x1400112a8	import	0x1400010a0	USER32.dll.DispatchMessageW
0x1400012f3	0x1400112b8	import	0x1400010a0	USER32.dll.GetMessageW
0x140001309	0x1400112e8	import	0x1400010a0	USER32.dll.IsWindow
0x14000132e	0x140011290	import	0x1400010a0	USER32.dll.PostMessageW
0x140001334	0x140011300	import	0x1400010a0	ole32.dll.CoUninitialize
0x1400013aa	0x140011050	import	0x140001350	KERNEL32.dll.CreateFileW
0x1400013e3	0x1400110e8	import	0x140001350	KERNEL32.dll.CreateEventW
0x14000140f	0x1400110e8	import	0x140001350	KERNEL32.dll.CreateEventW
0x14000145b	0x140011030	import	0x140001350	KERNEL32.dll.ReadFile
0x140001476	0x140011088	import	0x140001350	KERNEL32.dll.GetLastError
0x1400014cb	0x140011298	import	0x140001350	USER32.dll.MsgWaitForMultipleObjects
0x1400014f3	0x1400110d0	import	0x140001350	KERNEL32.dll.GetOverlappedResult
0x1400014fd	0x140011088	import	0x140001350	KERNEL32.dll.GetLastError
0x1400015c0	0x140011030	import	0x140001350	KERNEL32.dll.ReadFile
0x1400015ce	0x140011088	import	0x140001350	KERNEL32.dll.GetLastError
0x1400015fc	0x140011280	import	0x140001350	SHELL32.dll.SHCreateShellItem
0x140001688	0x140011058	import	0x140001350	KERNEL32.dll.lstrlenW
0x1400016b0	0x140011028	import	0x140001350	KERNEL32.dll.WriteFile
0x1400016cb	0x140011088	import	0x140001350	KERNEL32.dll.GetLastError
0x14000171b	0x140011298	import	0x140001350	USER32.dll.MsgWaitForMultipleObjects
0x140001743	0x1400110d0	import	0x140001350	KERNEL32.dll.GetOverlappedResult
0x14000174d	0x140011088	import	0x140001350	KERNEL32.dll.GetLastError
0x1400017a8	0x140011308	import	0x140001350	ole32.dll.CoTaskMemFree
0x140001802	0x140011028	import	0x140001350	KERNEL32.dll.WriteFile
0x140001810	0x140011088	import	0x140001350	KERNEL32.dll.GetLastError
0x14000185c	0x140011298	import	0x140001350	USER32.dll.MsgWaitForMultipleObjects
0x140001878	0x1400110d0	import	0x140001350	KERNEL32.dll.GetOverlappedResult
0x140001882	0x140011088	import	0x140001350	KERNEL32.dll.GetLastError
0x1400018bb	0x1400110d0	import	0x140001350	KERNEL32.dll.GetOverlappedResult
0x1400018c5	0x140011088	import	0x140001350	KERNEL32.dll.GetLastError
0x1400018d6	0x140011020	import	0x140001350	KERNEL32.dll.CancelIo
0x1400018ee	0x1400110d0	import	0x140001350	KERNEL32.dll.GetOverlappedResult
0x1400018fb	0x1400110d8	import	0x140001350	KERNEL32.dll.CloseHandle
0x14000191a	0x1400110d0	import	0x140001350	KERNEL32.dll.GetOverlappedResult
0x140001924	0x140011088	import	0x140001350	KERNEL32.dll.GetLastError
0x140001936	0x140011020	import	0x140001350	KERNEL32.dll.CancelIo
0x140001950	0x1400110d0	import	0x140001350	KERNEL32.dll.GetOverlappedResult
0x14000195f	0x1400110d8	import	0x140001350	KERNEL32.dll.CloseHandle
0x140001968	0x1400110d8	import	0x140001350	KERNEL32.dll.CloseHandle
0x140001978	0x1400025b0	string	0x140001350	H;\rY
0x140001a5c	0x140002254	string	0x1400019a0	@SUVWH
0x140001a85	0x140002254	string	0x1400019a0	@SUVWH
0x140001ab9	0x140011290	import	0x1400019a0	USER32.dll.PostMessageW
