reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4010c8	0x41521c	import	0x401070	KERNEL32.dll.GetPrivateProfileStringW
0x401170	0x415214	import	0x401140	KERNEL32.dll.WritePrivateProfileStringW
0x4011f5	0x415200	import	0x4011c0	KERNEL32.dll.WritePrivateProfileStructW
0x401265	0x4151fc	import	0x401230	KERNEL32.dll.GetPrivateProfileStructW
0x4012db	0x4153a8	import	0x4012a0	USER32.dll.wsprintfW
0x4012fc	0x415214	import	0x4012a0	KERNEL32.dll.WritePrivateProfileStringW
0x401380	0x4151f8	import	0x401350	KERNEL32.dll.GetPrivateProfileIntW
0x401487	0x41b144	string	0x401430	CMonitorApp: %s\n
0x40148d	0x4153a8	import	0x401430	USER32.dll.wsprintfW
0x4014d1	0x41b0ec	string	0x401430	Newman-518-3050__Gaming_Mouse_Monitor_Mutex
0x4014da	0x4151ec	import	0x401430	KERNEL32.dll.CreateMutexW
0x4014e6	0x4151f0	import	0x401430	KERNEL32.dll.GetLastError
0x4014fa	0x4151f4	import	0x401430	KERNEL32.dll.CloseHandle
0x401509	0x41b0b8	string	0x401430	3360 Gaming Mouse Monitor
0x401510	0x4153a0	import	0x401430	USER32.dll.FindWindowW
0x401523	0x4153a4	import	0x401430	USER32.dll.PostMessageW
0x401545	0x4153cc	import	0x401430	ole32.dll.CoInitialize
0x4015c3	0x4153c8	import	0x401430	ole32.dll.CoUninitialize
0x4015e5	0x4151e8	import	0x401430	KERNEL32.dll.ReleaseMutex
0x4015f2	0x4151f4	import	0x401430	KERNEL32.dll.CloseHandle
0x401654	0x4151e4	import	0x401630	KERNEL32.dll.InitializeCriticalSection
0x40169d	0x4151e0	import	0x401690	KERNEL32.dll.DeleteCriticalSection
0x4016b4	0x4151dc	import	0x401690	KERNEL32.dll.EnterCriticalSection
0x4016d4	0x4151d8	import	0x401690	KERNEL32.dll.LeaveCriticalSection
0x4017b8	0x41b1e0	string	0x401750	config\Config.data
0x4017ea	0x4151d4	import	0x401750	KERNEL32.dll.DeleteFileW
0x401825	0x41b1d8	string	0x401750	number
0x40183b	0x41b1d0	string	0x401750	Config
0x40185a	0x41b1c4	string	0x401750	ProfileID
0x401870	0x41b1d0	string	0x401750	Config
0x401894	0x41b1b8	string	0x401750	KeysFlag
0x4018aa	0x41b1d0	string	0x401750	Config
0x4018cf	0x41b1a8	string	0x401750	AttributeFlag
0x4018e5	0x41b1d0	string	0x401750	Config
0x40190a	0x41b19c	string	0x401750	DPIStepFlag
0x401920	0x41b1d0	string	0x401750	Config
0x401944	0x41b190	string	0x401750	PRateFlag
0x40195a	0x41b1d0	string	0x401750	Config
0x40198a	0x41b17c	string	0x401750	Profile%d
0x401a92	0x41b208	string	0x401a30	config\Config.data
0x401b09	0x41b1d8	string	0x401a30	number
0x401b23	0x41b1d0	string	0x401a30	Config
0x401b45	0x41b1c4	string	0x401a30	ProfileID
0x401b5b	0x41b1d0	string	0x401a30	Config
0x401b7b	0x41b1b8	string	0x401a30	KeysFlag
0x401b9c	0x41b1d0	string	0x401a30	Config
0x401bbc	0x41b1a8	string	0x401a30	AttributeFlag
0x401bd7	0x41b1d0	string	0x401a30	Config
0x401bf7	0x41b19c	string	0x401a30	DPIStepFlag
0x401c12	0x41b1d0	string	0x401a30	Config
0x401c32	0x41b190	string	0x401a30	PRateFlag
0x401c4d	0x41b1d0	string	0x401a30	Config
0x401c80	0x41b17c	string	0x401a30	Profile%d
0x401da7	0x4153a0	import	0x401da0	USER32.dll.FindWindowW
0x401dbb	0x41b21c	string	0x401da0	3360 Gaming Mouse
0x401dec	0x4151d0	import	0x401da0	KERNEL32.dll.Sleep
