reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x1000107f	0x1001621c	import	0x10001070	gdiplus.dll.GdipDisposeImage
0x10001091	0x1001620c	import	0x10001070	gdiplus.dll.GdipFree
0x100010b2	0x100161f0	import	0x10001070	gdiplus.dll.GdipDeleteGraphics
0x100010e1	0x10016240	import	0x100010c0	gdiplus.dll.GdipCloneImage
0x100010f0	0x1001624c	import	0x100010c0	gdiplus.dll.GdipAlloc
0x10001173	0x100162c4	import	0x10001150	node.dll.sym_imp_public: static class v8::Isolate * __cdecl v8::Isolate::GetCurrent(void)
0x10001188	0x1001625c	import	0x10001150	node.dll.sym_imp_public: class v8::Local<class v8::Context> __thiscall v8::Isolate::GetCurrentContext(void)
0x1000119d	0x10016290	import	0x10001150	node.dll.sym_imp_public: class v8::Local<class v8::Object> __thiscall v8::Context::Global(void)
0x100011b4	0x100162c0	import	0x10001150	node.dll.sym_imp_protected: static class v8::internal::Object * * __cdecl v8::HandleScope::CreateHandle(class v8::internal::Isolate *, class v8::internal::Object *)
0x100011c3	0x100162b0	import	0x10001150	node.dll.sym_imp_public: class v8::Local<class v8::Value> __thiscall v8::Function::Call(class v8::Local<class v8::Value>, int, class v8::Local<class v8::Value> * const)
0x10001213	0x100162c4	import	0x100011f0	node.dll.sym_imp_public: static class v8::Isolate * __cdecl v8::Isolate::GetCurrent(void)
0x10001228	0x1001625c	import	0x100011f0	node.dll.sym_imp_public: class v8::Local<class v8::Context> __thiscall v8::Isolate::GetCurrentContext(void)
0x1000123d	0x10016290	import	0x100011f0	node.dll.sym_imp_public: class v8::Local<class v8::Object> __thiscall v8::Context::Global(void)
0x10001254	0x100162c0	import	0x100011f0	node.dll.sym_imp_protected: static class v8::internal::Object * * __cdecl v8::HandleScope::CreateHandle(class v8::internal::Isolate *, class v8::internal::Object *)
0x10001263	0x100162b0	import	0x100011f0	node.dll.sym_imp_public: class v8::Local<class v8::Value> __thiscall v8::Function::Call(class v8::Local<class v8::Value>, int, class v8::Local<class v8::Value> * const)
0x100012a3	0x100162c4	import	0x10001280	node.dll.sym_imp_public: static class v8::Isolate * __cdecl v8::Isolate::GetCurrent(void)
0x100012b8	0x1001625c	import	0x10001280	node.dll.sym_imp_public: class v8::Local<class v8::Context> __thiscall v8::Isolate::GetCurrentContext(void)
0x100012cd	0x10016290	import	0x10001280	node.dll.sym_imp_public: class v8::Local<class v8::Object> __thiscall v8::Context::Global(void)
0x100012e4	0x100162c0	import	0x10001280	node.dll.sym_imp_protected: static class v8::internal::Object * * __cdecl v8::HandleScope::CreateHandle(class v8::internal::Isolate *, class v8::internal::Object *)
0x100012f3	0x100162b0	import	0x10001280	node.dll.sym_imp_public: class v8::Local<class v8::Value> __thiscall v8::Function::Call(class v8::Local<class v8::Value>, int, class v8::Local<class v8::Value> * const)
0x1000135e	0x100162a0	import	0x10001350	node.dll.uv_default_loop
0x10001364	0x100162a4	import	0x10001350	node.dll.uv_async_init
0x10001403	0x100162ac	import	0x10001350	node.dll.uv_thread_create
0x10001430	0x1001b8e4	string	0x10001420	ThunderSuspensionWindow.node
0x10001478	0x1001607c	import	0x10001420	KERNEL32.dll.GetModuleHandleW
0x1000148d	0x10016074	import	0x10001420	KERNEL32.dll.FindResourceW
0x100014a3	0x10016060	import	0x10001420	KERNEL32.dll.SizeofResource
0x100014b0	0x10016070	import	0x10001420	KERNEL32.dll.LoadResource
0x100014c2	0x1001606c	import	0x10001420	KERNEL32.dll.GlobalAlloc
0x100014cb	0x10016078	import	0x10001420	KERNEL32.dll.GlobalLock
0x100014e3	0x100162cc	import	0x10001420	ole32.dll.CreateStreamOnHGlobal
0x100014f1	0x1001624c	import	0x10001420	gdiplus.dll.GdipAlloc
0x10001517	0x10016248	import	0x10001420	gdiplus.dll.GdipCreateBitmapFromStream
0x1000152f	0x10016080	import	0x10001420	KERNEL32.dll.GlobalUnlock
0x1000154e	0x10016064	import	0x10001420	KERNEL32.dll.FreeResource
0x10001594	0x1001607c	import	0x10001570	KERNEL32.dll.GetModuleHandleW
0x100015e7	0x10016010	import	0x10001570	GDI32.dll.GetStockObject
0x100015f8	0x10016184	import	0x10001570	USER32.dll.LoadCursorW
0x10001622	0x1001b928	string	0x10001570	Suspension
0x10001642	0x10016224	import	0x10001570	gdiplus.dll.GdiplusStartup
0x1000164d	0x100161d4	import	0x10001570	USER32.dll.RegisterClassExW
0x100016e3	0x100161a0	import	0x10001570	USER32.dll.GetSystemMetrics
0x1000170a	0x1001b928	string	0x10001570	Suspension
0x10001714	0x100161a4	import	0x10001570	USER32.dll.CreateWindowExW
0x1000171f	0x10016170	import	0x10001570	USER32.dll.UpdateWindow
0x10001725	0x100161c0	import	0x10001570	USER32.dll.GetMessageW
0x1000173c	0x10016188	import	0x10001570	USER32.dll.TranslateMessage
0x10001742	0x10016190	import	0x10001570	USER32.dll.DispatchMessageW
0x1000176b	0x10016228	import	0x10001570	gdiplus.dll.GdiplusShutdown
0x1000186c	0x10016194	import	0x10001840	USER32.dll.IsWindow
0x1000187c	0x100161b0	import	0x10001840	USER32.dll.DestroyWindow
0x10001ad3	0x1001618c	import	0x10001a50	USER32.dll.SetTimer
0x10001adc	0x10016160	import	0x10001a50	SHELL32.dll.DragAcceptFiles
0x10001ae9	0x10016174	import	0x10001a50	USER32.dll.PostQuitMessage
0x10001b07	0x100162a8	import	0x10001a50	node.dll.uv_async_send
0x10001b2b	0x100161d0	import	0x10001a50	USER32.dll.BeginPaint
0x10001b43	0x100161d8	import	0x10001a50	USER32.dll.EndPaint
0x10001b9b	0x10016194	import	0x10001a50	USER32.dll.IsWindow
0x10001bb5	0x100161b8	import	0x10001a50	USER32.dll.PostMessageW
0x10001bce	0x100161cc	import	0x10001a50	USER32.dll.GetCursorPos
0x10001bf3	0x100161a0	import	0x10001a50	USER32.dll.GetSystemMetrics
0x10001c3d	0x100161a8	import	0x10001a50	USER32.dll.SetWindowPos
0x10001c64	0x10016000	import	0x10001a50	COMCTL32.dll._TrackMouseEvent
0x10001cb6	0x100161b4	import	0x10001a50	USER32.dll.GetWindowRect
0x10001cf4	0x100161a8	import	0x10001a50	USER32.dll.SetWindowPos
0x10001cff	0x100161cc	import	0x10001a50	USER32.dll.GetCursorPos
0x10001d21	0x100162a8	import	0x10001a50	node.dll.uv_async_send
0x10001d4e	0x100161b4	import	0x10001a50	USER32.dll.GetWindowRect
0x10001d70	0x100161cc	import	0x10001a50	USER32.dll.GetCursorPos
0x10001db1	0x100161a8	import	0x10001a50	USER32.dll.SetWindowPos
0x10001dd3	0x100162a8	import	0x10001a50	node.dll.uv_async_send
0x10001df6	0x10016180	import	0x10001a50	USER32.dll.SetCapture
0x10001e22	0x100162a8	import	0x10001a50	node.dll.uv_async_send
0x10001e5f	0x100161b4	import	0x10001a50	USER32.dll.GetWindowRect
0x10001ea3	0x100161a8	import	0x10001a50	USER32.dll.SetWindowPos
0x10001eb0	0x100162a8	import	0x10001a50	node.dll.uv_async_send
0x10001eb9	0x1001619c	import	0x10001a50	USER32.dll.ReleaseCapture
0x10001ed7	0x100162a8	import	0x10001a50	node.dll.uv_async_send
0x10001ef8	0x100162a8	import	0x10001a50	node.dll.uv_async_send
0x10001f19	0x100162a8	import	0x10001a50	node.dll.uv_async_send
0x10001f3f	0x10016168	import	0x10001a50	SHELL32.dll.DragQueryFileW
0x10001f5c	0x10016168	import	0x10001a50	SHELL32.dll.DragQueryFileW
0x10001f74	0x1001b940	string	0x10001a50	open
0x10001f7b	0x10016164	import	0x10001a50	SHELL32.dll.ShellExecuteW
0x10001f8b	0x1001615c	import	0x10001a50	SHELL32.dll.DragFinish
0x10001f9a	0x100161bc	import	0x10001a50	USER32.dll.DefWindowProcW
0x1000210c	0x10016250	import	0x100020a0	gdiplus.dll.GdipGetImageWidth
0x10002127	0x10016250	import	0x100020a0	gdiplus.dll.GdipGetImageWidth
0x100021a3	0x10016178	import	0x100020a0	USER32.dll.KillTimer
0x100021e0	0x1001b8e4	string	0x100021d0	ThunderSuspensionWindow.node
0x100021fb	0x1001607c	import	0x100021d0	KERNEL32.dll.GetModuleHandleW
0x1000223b	0x10016074	import	0x100021d0	KERNEL32.dll.FindResourceW
0x10002253	0x10016060	import	0x100021d0	KERNEL32.dll.SizeofResource
0x10002264	0x10016070	import	0x100021d0	KERNEL32.dll.LoadResource
0x1000226b	0x10016068	import	0x100021d0	KERNEL32.dll.LockResource
0x10002279	0x1001606c	import	0x100021d0	KERNEL32.dll.GlobalAlloc
