reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40102c	0x407204	import	0x401000	USER32.dll.DefWindowProcA
0x401047	0x407208	import	0x401000	USER32.dll.BeginPaint
0x40105b	0x40720c	import	0x401000	USER32.dll.GetClientRect
0x401068	0x407060	import	0x401000	GDI32.dll.DeleteObject
0x4010cf	0x40705c	import	0x401000	GDI32.dll.CreateBrushIndirect
0x4010e4	0x407210	import	0x401000	USER32.dll.FillRect
0x401105	0x407058	import	0x401000	GDI32.dll.CreateFontIndirectA
0x401126	0x407054	import	0x401000	GDI32.dll.SetBkMode
0x401130	0x407050	import	0x401000	GDI32.dll.SetTextColor
0x401139	0x40704c	import	0x401000	GDI32.dll.SelectObject
0x401156	0x407268	import	0x401000	USER32.dll.DrawTextA
0x40116e	0x40726c	import	0x401000	USER32.dll.EndPaint
0x4013e4	0x407144	import	0x401389	KERNEL32.dll.MulDiv
0x4013f4	0x407200	import	0x401389	USER32.dll.SendMessageA
0x4014ac	0x407278	import	0x401434	USER32.dll.PostQuitMessage
0x4014e9	0x40708c	import	0x401434	KERNEL32.dll.Sleep
0x4014f7	0x407244	import	0x401434	USER32.dll.SetForegroundWindow
0x401575	0x407248	import	0x401434	USER32.dll.ShowWindow
0x4015a8	0x4070b4	import	0x401434	KERNEL32.dll.SetFileAttributesA
0x40160d	0x4070fc	import	0x401434	KERNEL32.dll.GetFileAttributesA
0x40163c	0x407100	import	0x401434	KERNEL32.dll.SetCurrentDirectoryA
0x401685	0x407104	import	0x401434	KERNEL32.dll.MoveFileA
0x4016ce	0x407108	import	0x401434	KERNEL32.dll.GetFullPathNameA
0x401714	0x40710c	import	0x401434	KERNEL32.dll.GetShortPathNameA
0x401733	0x407110	import	0x401434	KERNEL32.dll.SearchPathA
0x4017c2	0x4070f4	import	0x401434	KERNEL32.dll.CompareFileTime
0x4018bb	0x4070f8	import	0x401434	KERNEL32.dll.SetFileTime
0x4018c4	0x407114	import	0x401434	KERNEL32.dll.CloseHandle
0x401a04	0x407118	import	0x401434	KERNEL32.dll.lstrcmpiA
0x401a16	0x407124	import	0x401434	KERNEL32.dll.lstrcmpA
0x401a31	0x407160	import	0x401434	KERNEL32.dll.ExpandEnvironmentStringsA
0x401a44	0x407124	import	0x401434	KERNEL32.dll.lstrcmpA
0x401b55	0x407274	import	0x401434	USER32.dll.wsprintfA
0x401bd2	0x40715c	import	0x401434	KERNEL32.dll.GlobalFree
0x401be4	0x407158	import	0x401434	KERNEL32.dll.GlobalAlloc
0x401c7a	0x407250	import	0x401434	USER32.dll.SendMessageTimeoutA
0x401c92	0x407200	import	0x401434	USER32.dll.SendMessageA
0x401cc0	0x407254	import	0x401434	USER32.dll.FindWindowExA
0x401ce5	0x407258	import	0x401434	USER32.dll.IsWindow
