reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10001039	0x1000f12c	import	0x10001000	KERNEL32.dll.VirtualAlloc
0x10001279	0x1000f14c	import	0x1000122f	KERNEL32.dll.CreateFileW
0x100012e7	0x1000f150	import	0x1000122f	KERNEL32.dll.ReadFile
0x10001346	0x1000f15c	import	0x1000122f	KERNEL32.dll.SetFilePointerEx
0x10001350	0x1000f148	import	0x1000122f	KERNEL32.dll.GetLastError
0x10001362	0x1000f158	import	0x1000122f	KERNEL32.dll.WriteFile
0x10001371	0x1000f154	import	0x1000122f	KERNEL32.dll.Sleep
0x10001381	0x1000f158	import	0x1000122f	KERNEL32.dll.WriteFile
0x100013a5	0x1000f158	import	0x1000122f	KERNEL32.dll.WriteFile
0x100013be	0x1000f144	import	0x1000122f	KERNEL32.dll.CloseHandle
0x1000146e	0x1000f120	import	0x100013de	KERNEL32.dll.GetProcessHeap
0x10001497	0x1000f06c	import	0x1000148d	KERNEL32.dll.GetSystemInfo
0x100014dc	0x1000f1f4	import	0x100014ad	USER32.dll.wsprintfW
0x10001500	0x1000f05c	import	0x100014ad	KERNEL32.dll.ExitThread
0x1000158f	0x1000f118	import	0x10001517	KERNEL32.dll.GetDriveTypeA
0x10001607	0x1000f1f4	import	0x100015d8	USER32.dll.wsprintfW
0x10001658	0x1000f12c	import	0x10001635	KERNEL32.dll.VirtualAlloc
0x1000167f	0x1000f1d8	import	0x10001635	MPR.dll.WNetOpenEnumW
0x100016b2	0x1000f1dc	import	0x10001635	MPR.dll.WNetEnumResourceW
0x10001733	0x1000f1d4	import	0x10001635	MPR.dll.WNetCloseEnum
0x10001746	0x1000f1d8	import	0x10001635	MPR.dll.WNetOpenEnumW
0x1000177e	0x1000f1dc	import	0x10001635	MPR.dll.WNetEnumResourceW
0x100017ff	0x1000f1d4	import	0x10001635	MPR.dll.WNetCloseEnum
0x10001812	0x1000f124	import	0x10001635	KERNEL32.dll.VirtualFree
0x10001857	0x1000f128	import	0x10001829	KERNEL32.dll.GetComputerNameW
0x1000189a	0x1000f05c	import	0x10001829	KERNEL32.dll.ExitThread
0x100018e6	0x1000f094	import	0x100018b1	KERNEL32.dll.CreateThread
0x10001973	0x1000f098	import	0x100018b1	KERNEL32.dll.lstrcpyA
0x10001992	0x1000f094	import	0x100018b1	KERNEL32.dll.CreateThread
0x100019bf	0x1000f070	import	0x100018b1	KERNEL32.dll.WaitForMultipleObjects
0x100019cf	0x1000f130	import	0x100018b1	KERNEL32.dll.WaitForSingleObject
0x10001e32	0x1000f08c	import	0x10001b65	KERNEL32.dll.lstrcpyW
0x10001e43	0x1000f078	import	0x10001b65	KERNEL32.dll.lstrcatW
0x10001e4f	0x1000f064	import	0x10001b65	KERNEL32.dll.lstrlenW
0x10001ea5	0x1000f060	import	0x10001b65	KERNEL32.dll.MultiByteToWideChar
0x10001eb9	0x1000f078	import	0x10001b65	KERNEL32.dll.lstrcatW
0x10001ecc	0x1000f078	import	0x10001b65	KERNEL32.dll.lstrcatW
0x10001fe5	0x1000f078	import	0x10001b65	KERNEL32.dll.lstrcatW
0x10001ff6	0x1000f078	import	0x10001b65	KERNEL32.dll.lstrcatW
0x10002006	0x1000f078	import	0x10001b65	KERNEL32.dll.lstrcatW
0x10002017	0x1000f078	import	0x10001b65	KERNEL32.dll.lstrcatW
0x10002023	0x1000f064	import	0x10001b65	KERNEL32.dll.lstrlenW
0x10002079	0x1000f060	import	0x10001b65	KERNEL32.dll.MultiByteToWideChar
0x1000208d	0x1000f078	import	0x10001b65	KERNEL32.dll.lstrcatW
0x1000209d	0x1000f078	import	0x10001b65	KERNEL32.dll.lstrcatW
0x100020f0	0x1000f03c	import	0x100020c5	ADVAPI32.dll.RegOpenKeyExW
0x10002102	0x1000f038	import	0x100020c5	ADVAPI32.dll.RegCloseKey
0x10002135	0x10012b40	string	0x10002120	SOFTWARE\keys_data\data
0x1000214f	0x1000f03c	import	0x10002120	ADVAPI32.dll.RegOpenKeyExW
0x10002166	0x10012b70	string	0x10002120	public
0x1000216d	0x10012b80	string	0x10002120	private
0x10002188	0x1000f040	import	0x10002120	ADVAPI32.dll.RegQueryValueExW
0x100021c4	0x1000f040	import	0x10002120	ADVAPI32.dll.RegQueryValueExW
0x100021e7	0x1000f040	import	0x10002120	ADVAPI32.dll.RegQueryValueExW
0x10002210	0x1000f040	import	0x10002120	ADVAPI32.dll.RegQueryValueExW
0x10002228	0x1000f038	import	0x10002120	ADVAPI32.dll.RegCloseKey
0x10002255	0x10012b40	string	0x10002240	SOFTWARE\keys_data\data
0x1000225c	0x10012b70	string	0x10002240	public
0x10002263	0x10012b80	string	0x10002240	private
0x10002298	0x1000f044	import	0x10002240	ADVAPI32.dll.RegCreateKeyExW
0x100022bc	0x1000f034	import	0x10002240	ADVAPI32.dll.RegSetValueExW
0x100022d5	0x1000f034	import	0x10002240	ADVAPI32.dll.RegSetValueExW
0x10002300	0x1000f038	import	0x10002240	ADVAPI32.dll.RegCloseKey
0x1000236b	0x1000f124	import	0x10002316	KERNEL32.dll.VirtualFree
0x1000237e	0x1000f124	import	0x10002316	KERNEL32.dll.VirtualFree
0x10002421	0x10012ba0	string	0x100023cd	ransom_id
0x10002428	0x10012bb4	string	0x100023cd	os_bit
0x1000242f	0x10012bc4	string	0x100023cd	os_major
0x10002436	0x10012bd8	string	0x100023cd	pc_keyb
0x1000243d	0x10012be8	string	0x100023cd	pc_lang
0x1000244b	0x10012c00	string	0x100023cd	pc_group
0x10002452	0x10012c14	string	0x100023cd	pc_name
0x10002459	0x10012c24	string	0x100023cd	pc_user
0x100024b5	0x10012c34	string	0x100023cd	ransom_id=
0x100024cc	0x1000f064	import	0x100023cd	KERNEL32.dll.lstrlenW
0x100024dd	0x1000f064	import	0x100023cd	KERNEL32.dll.lstrlenW
0x100024eb	0x1000f064	import	0x100023cd	KERNEL32.dll.lstrlenW
0x10002515	0x1000f08c	import	0x100023cd	KERNEL32.dll.lstrcpyW
0x10002527	0x1000f078	import	0x100023cd	KERNEL32.dll.lstrcatW
0x10002535	0x10012c4c	string	0x100023cd	{USERID}
0x10002551	0x1000f08c	import	0x100023cd	KERNEL32.dll.lstrcpyW
0x1000255a	0x1000f064	import	0x100023cd	KERNEL32.dll.lstrlenW
0x10002572	0x10012c4c	string	0x100023cd	{USERID}
0x1000265e	0x1000f068	import	0x100025f3	KERNEL32.dll.VirtualUnlock
0x1000266e	0x1000f124	import	0x100025f3	KERNEL32.dll.VirtualFree
0x100026a4	0x1000f124	import	0x100025f3	KERNEL32.dll.VirtualFree
0x100027a6	0x1000f064	import	0x100026c3	KERNEL32.dll.lstrlenW
0x100027da	0x1000f064	import	0x100026c3	KERNEL32.dll.lstrlenW
0x100027f9	0x1000f1f4	import	0x100026c3	USER32.dll.wsprintfW
0x10002805	0x1000f064	import	0x100026c3	KERNEL32.dll.lstrlenW
0x10002867	0x1000f1e4	import	0x1000282c	SHELL32.dll.SHGetSpecialFolderPathW
0x1000289f	0x1000f088	import	0x1000282c	KERNEL32.dll.GetWindowsDirectoryW
0x100028ee	0x1000f090	import	0x1000282c	KERNEL32.dll.GetVolumeInformationW
0x10002909	0x10012c68	string	0x1000282c	%X ahnlab http://memesmix.net/media/created/dd0doq.jpg
0x10002915	0x1000f1f4	import	0x1000282c	USER32.dll.wsprintfW
0x10002952	0x10012cd8	string	0x1000282c	Global\%s.lock
0x1000295a	0x1000f1f4	import	0x1000282c	USER32.dll.wsprintfW
0x1000296a	0x1000f13c	import	0x1000282c	KERNEL32.dll.CreateMutexW
0x10002970	0x1000f148	import	0x1000282c	KERNEL32.dll.GetLastError
0x1000297b	0x1000f148	import	0x1000282c	KERNEL32.dll.GetLastError
0x100029e3	0x1000f03c	import	0x100029b7	ADVAPI32.dll.RegOpenKeyExW
0x100029ff	0x1000f03c	import	0x100029b7	ADVAPI32.dll.RegOpenKeyExW
0x10002a29	0x1000f040	import	0x100029b7	ADVAPI32.dll.RegQueryValueExW
0x10002a42	0x1000f038	import	0x100029b7	ADVAPI32.dll.RegCloseKey
0x10002afd	0x1000f07c	import	0x10002a7c	KERNEL32.dll.GetUserDefaultUILanguage
0x10002b09	0x1000f138	import	0x10002a7c	KERNEL32.dll.GetSystemDefaultUILanguage
0x10002bc5	0x1000f1f4	import	0x10002b5d	USER32.dll.wsprintfW
0x10002be2	0x10012d00	string	0x10002b5d	Keyboard Layout\Preload
0x10002bf8	0x10012d30	string	0x10002b5d	00000419
0x10002c00	0x1000f074	import	0x10002b5d	KERNEL32.dll.lstrcmpiW
0x10002c98	0x10002d94	string	0x10002c74	j\Xf
0x10002f98	0x1000f050	import	0x10002c74	KERNEL32.dll.GetSystemDirectoryW
0x10002fa4	0x1000f078	import	0x10002c74	KERNEL32.dll.lstrcatW
0x10002fb4	0x10012d44	string	0x10002c74	open
0x10002fbb	0x1000f1e8	import	0x10002c74	SHELL32.dll.ShellExecuteW
0x10003004	0x10012d60	string	0x10002fdf	@hashbreaker Daniel J. Bernstein let's dance salsa <3
0x1000300f	0x10012da0	string	0x10002fdf	@hashbreaker :)))
0x1000306d	0x1000f12c	import	0x10002fdf	KERNEL32.dll.VirtualAlloc
0x100030bc	0x1000f04c	import	0x1000309f	KERNEL32.dll.OpenProcess
