reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x140001310	0x1400636c8	import	0x140001310	KERNEL32.dll.InitializeCriticalSectionEx
0x14000136f	0x1400636c8	import	0x140001318	KERNEL32.dll.InitializeCriticalSectionEx
0x140001379	0x1400636b8	import	0x140001318	KERNEL32.dll.GetLastError
0x1400014b1	0x14007a3f0	string	0x14000148c	netid.dll
0x1400014bb	0x140063680	import	0x14000148c	KERNEL32.dll.LoadLibraryA
0x1400014ce	0x14007a400	string	0x14000148c	PlgInitialize
0x1400014d8	0x140063678	import	0x14000148c	KERNEL32.dll.GetProcAddress
0x1400014ef	0x14007a410	string	0x14000148c	PlgFinalize
0x1400014f6	0x140063678	import	0x14000148c	KERNEL32.dll.GetProcAddress
0x140001509	0x14007a420	string	0x14000148c	PlgSetProperty
0x140001510	0x140063678	import	0x14000148c	KERNEL32.dll.GetProcAddress
0x140001523	0x14007a430	string	0x14000148c	PlgGetProperty
0x14000152a	0x140063678	import	0x14000148c	KERNEL32.dll.GetProcAddress
0x14000153d	0x14007a440	string	0x14000148c	PlgEnumProperty
0x140001544	0x140063678	import	0x14000148c	KERNEL32.dll.GetProcAddress
0x140001557	0x14007a450	string	0x14000148c	PlgInvoke
0x14000155e	0x140063678	import	0x14000148c	KERNEL32.dll.GetProcAddress
0x140001586	0x14007a460	string	0x14000148c	P_Initialize
0x14000158d	0x140063678	import	0x14000148c	KERNEL32.dll.GetProcAddress
0x1400015a4	0x14007a470	string	0x14000148c	P_Finalize
0x1400015ab	0x140063678	import	0x14000148c	KERNEL32.dll.GetProcAddress
0x1400015be	0x14007a480	string	0x14000148c	P_SetProperty
0x1400015c5	0x140063678	import	0x14000148c	KERNEL32.dll.GetProcAddress
0x1400015d8	0x14007a490	string	0x14000148c	P_GetProperty
0x1400015df	0x140063678	import	0x14000148c	KERNEL32.dll.GetProcAddress
0x1400015f2	0x14007a4a0	string	0x14000148c	P_EnumProperty
0x1400015f9	0x140063678	import	0x14000148c	KERNEL32.dll.GetProcAddress
0x14000160c	0x14007a4b0	string	0x14000148c	P_Invoke
0x140001613	0x140063678	import	0x14000148c	KERNEL32.dll.GetProcAddress
0x140001657	0x140063670	import	0x14000148c	KERNEL32.dll.FreeLibrary
0x140001700	0x14007a4c0	string	0x140001698	WorkingDirectory
0x140001a98	0x14007a5f8	string	0x140001a64	true
0x140001bd3	0x14007a5b8	string	0x140001ba0	<dpiAware
0x140001d91	0x140063070	import	0x140001ce0	CRYPT32.dll.CryptQueryObject
0x140001dba	0x140063080	import	0x140001ce0	CRYPT32.dll.CryptMsgGetParam
0x140001df4	0x140063080	import	0x140001ce0	CRYPT32.dll.CryptMsgGetParam
0x140001e32	0x140063088	import	0x140001ce0	CRYPT32.dll.CertFindCertificateInStore
0x140001e68	0x140063090	import	0x140001ce0	CRYPT32.dll.CertFreeCertificateContext
0x140001e82	0x140063078	import	0x140001ce0	CRYPT32.dll.CertCloseStore
0x140001e92	0x140063068	import	0x140001ce0	CRYPT32.dll.CryptMsgClose
0x140001f49	0x140063658	import	0x140001ec0	KERNEL32.dll.GetModuleFileNameW
0x140001f57	0x14007a598	string	0x140001ec0	wintrust.dll
0x140001f5e	0x140063680	import	0x140001ec0	KERNEL32.dll.LoadLibraryA
0x140001f70	0x14007a5a8	string	0x140001ec0	WinVerifyTrust
0x140001f7a	0x140063678	import	0x140001ec0	KERNEL32.dll.GetProcAddress
0x140001ff5	0x140063670	import	0x140001ec0	KERNEL32.dll.FreeLibrary
0x140002124	0x140063638	import	0x1400020e4	KERNEL32.dll.FindResourceExA
0x14000213c	0x140063660	import	0x1400020e4	KERNEL32.dll.SizeofResource
0x140002152	0x140063618	import	0x1400020e4	KERNEL32.dll.LoadResource
0x140002160	0x140063630	import	0x1400020e4	KERNEL32.dll.LockResource
0x140002196	0x140063670	import	0x1400020e4	KERNEL32.dll.FreeLibrary
0x1400023bd	0x14007a600	string	0x14000239c	Shell_TrayWnd
0x1400023cf	0x140063d40	import	0x14000239c	USER32.dll.FindWindowA
0x1400023e2	0x140063cf0	import	0x14000239c	USER32.dll.GetWindowRect
0x140002406	0x140063cf8	import	0x14000239c	USER32.dll.GetDC
0x140002420	0x140063200	import	0x14000239c	GDI32.dll.GetPixel
0x14000242d	0x140063d50	import	0x14000239c	USER32.dll.ReleaseDC
0x14000290e	0x14000291a	string	0x1400028b8	<6w{I
0x140002abc	0x14007a610	string	0x140002a68	OriginalFileName
0x140002d06	0x140063668	import	0x140002ce0	KERNEL32.dll.GetModuleFileNameA
0x140002d49	0x14007a62c	string	0x140002ce0	.dll
0x140002d5b	0x140063640	import	0x140002ce0	KERNEL32.dll.GetFileAttributesA
0x140002dbe	0x140063668	import	0x140002d80	KERNEL32.dll.GetModuleFileNameA
0x140002ddf	0x14007a638	string	0x140002d80	%CURRENT%
0x140002df3	0x14007a648	string	0x140002d80	%INSTALL%
0x140002e58	0x140063650	import	0x140002d80	KERNEL32.dll.ExpandEnvironmentStringsA
0x140002ef8	0x140063638	import	0x140002ebc	KERNEL32.dll.FindResourceExA
0x140002f0c	0x140063660	import	0x140002ebc	KERNEL32.dll.SizeofResource
0x140002f1f	0x140063618	import	0x140002ebc	KERNEL32.dll.LoadResource
0x140002f2d	0x140063630	import	0x140002ebc	KERNEL32.dll.LockResource
0x140002f72	0x140063670	import	0x140002ebc	KERNEL32.dll.FreeLibrary
0x140002fd4	0x14007a660	string	0x140002f94	%TEMP%\~
0x140003059	0x14007a66c	string	0x140002f94	Random
0x140003087	0x14007a674	string	0x140002f94	_app_
0x140003344	0x140063608	import	0x1400031b8	KERNEL32.dll.CreateProcessA
0x14000335a	0x140063620	import	0x1400031b8	KERNEL32.dll.CloseHandle
0x14000337d	0x1400635f8	import	0x1400031b8	KERNEL32.dll.GetExitCodeProcess
0x140003395	0x140063648	import	0x1400031b8	KERNEL32.dll.Sleep
0x1400033a4	0x140063620	import	0x1400031b8	KERNEL32.dll.CloseHandle
0x140003408	0x14007a684	string	0x1400033d4	open
0x14000344b	0x1400637f0	import	0x1400033d4	SHELL32.dll.ShellExecuteExA
0x140003462	0x140063620	import	0x1400033d4	KERNEL32.dll.CloseHandle
0x140003507	0x140063668	import	0x14000348c	KERNEL32.dll.GetModuleFileNameA
0x140003514	0x140063d78	import	0x14000348c	VERSION.dll.GetFileVersionInfoSizeA
0x14000353c	0x140063d80	import	0x14000348c	VERSION.dll.GetFileVersionInfoA
0x140003551	0x14007a6b0	string	0x14000348c	\VarFileInfo\Translation
0x140003558	0x140063d70	import	0x14000348c	VERSION.dll.VerQueryValueA
0x140003568	0x14007a6d0	string	0x14000348c	\StringFileInfo\%08x\%s
0x14000359c	0x140063d70	import	0x14000348c	VERSION.dll.VerQueryValueA
0x140003723	0x140063d10	import	0x140003704	USER32.dll.OpenClipboard
0x14000372d	0x140063d20	import	0x140003704	USER32.dll.EmptyClipboard
0x140003756	0x140063628	import	0x140003704	KERNEL32.dll.GlobalAlloc
0x140003769	0x140063610	import	0x140003704	KERNEL32.dll.GlobalLock
0x140003785	0x140063600	import	0x140003704	KERNEL32.dll.GlobalUnlock
0x140003791	0x140063d38	import	0x140003704	USER32.dll.SetClipboardData
0x14000379e	0x140063d18	import	0x140003704	USER32.dll.CloseClipboard
0x1400037f9	0x14007a6e8	string	0x1400037c4	ProductName
0x140003866	0x14007a6f8	string	0x1400037c4	- Window
0x140003955	0x14007a740	string	0x140003928	SOFTWARE\Microsoft\Internet Explorer\MAIN\FeatureControl\FEATURE_BROWSER_EMULATION
0x14000397e	0x140063008	import	0x140003928	ADVAPI32.dll.RegOpenKeyExA
0x1400039a9	0x140063038	import	0x140003928	ADVAPI32.dll.RegQueryValueExA
0x1400039c6	0x140063030	import	0x140003928	ADVAPI32.dll.RegCloseKey
0x140003a14	0x14007a740	string	0x1400039ec	SOFTWARE\Microsoft\Internet Explorer\MAIN\FeatureControl\FEATURE_BROWSER_EMULATION
0x140003a43	0x140063040	import	0x1400039ec	ADVAPI32.dll.RegCreateKeyExA
0x140003a6d	0x140063048	import	0x1400039ec	ADVAPI32.dll.RegSetValueExA
0x140003a7a	0x140063030	import	0x1400039ec	ADVAPI32.dll.RegCloseKey
0x140003ad2	0x14007a710	string	0x140003aaf	SOFTWARE\Microsoft\Internet Explorer
0x140003b00	0x140063008	import	0x140003aaf	ADVAPI32.dll.RegOpenKeyExA
0x140003b26	0x14007a708	string	0x140003aaf	Version
0x140003b32	0x140063038	import	0x140003aaf	ADVAPI32.dll.RegQueryValueExA
