reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10001043	0x10016050	import	0x10001040	KERNEL32.dll.InitializeCriticalSectionAndSpinCount
0x1000104d	0x10016044	import	0x10001040	KERNEL32.dll.GetLastError
0x10001193	0x10016160	import	0x100010f0	sfcorlib.dll.GetProgramPathW
0x100011ae	0x1001b69c	string	0x100010f0	dsf\TotalConfig.xml
0x100011c6	0x1001615c	import	0x100010f0	sfcorlib.dll.PathCchCombine
0x100011d3	0x10016158	import	0x100010f0	sfcorlib.dll.WszFileExists
0x1000123e	0x1001b6c4	string	0x100010f0	CClassifierEngine::Open
0x10001245	0x1001b6dc	string	0x100010f0	classifierengine.cpp
0x1000124a	0x1001b6f4	string	0x100010f0	[sfavclassifier]
0x1000124f	0x10016060	import	0x100010f0	KERNEL32.dll.GetCurrentThreadId
0x10001256	0x10016078	import	0x100010f0	KERNEL32.dll.GetCurrentProcessId
0x1000125d	0x1001b708	string	0x100010f0	[PID:%-5d TID:%-5d]\t[ERROR]\t%-10S %S(%d): %S Load and parse config error: %S
0x10001264	0x10016154	import	0x100010f0	sfcorlib.dll.WriteLogFileW
0x10001273	0x1001b6c4	string	0x100010f0	CClassifierEngine::Open
0x1000127a	0x1001b6dc	string	0x100010f0	classifierengine.cpp
0x1000127f	0x1001b6f4	string	0x100010f0	[sfavclassifier]
0x10001284	0x10016060	import	0x100010f0	KERNEL32.dll.GetCurrentThreadId
0x1000128b	0x10016078	import	0x100010f0	KERNEL32.dll.GetCurrentProcessId
0x10001292	0x1001b7a8	string	0x100010f0	[PID:%-5d TID:%-5d]\t[ERROR]\t%-10S %S(%d): %S Load and parse config error
0x10001299	0x10016154	import	0x100010f0	sfcorlib.dll.WriteLogFileW
0x10001345	0x1001605c	import	0x10001330	KERNEL32.dll.FreeLibrary
0x10001393	0x10001385	string	0x10001330	;p\bu\v
0x1000141d	0x1001612c	import	0x100013c0	sfavcore.dll.SoGetScanFile
0x1000142a	0x1001b83c	string	0x100013c0	CClassifierEngine::VirousCheck
0x10001431	0x1001b6dc	string	0x100013c0	classifierengine.cpp
0x10001436	0x1001b6f4	string	0x100013c0	[sfavclassifier]
0x1000143b	0x10016060	import	0x100013c0	KERNEL32.dll.GetCurrentThreadId
0x10001442	0x10016078	import	0x100013c0	KERNEL32.dll.GetCurrentProcessId
0x10001449	0x1001b860	string	0x100013c0	[PID:%-5d TID:%-5d]\t[ERROR]\t%-10S %S(%d): %S Failed to get scan file with hr = 0x%08x
0x10001450	0x10016154	import	0x100013c0	sfcorlib.dll.WriteLogFileW
0x10001479	0x10016120	import	0x100013c0	sfavcore.dll.SoCheckScanFileType
0x10001486	0x1001b83c	string	0x100013c0	CClassifierEngine::VirousCheck
0x10001490	0x1001b6dc	string	0x100013c0	classifierengine.cpp
0x10001495	0x1001b6f4	string	0x100013c0	[sfavclassifier]
0x1000149a	0x10016060	import	0x100013c0	KERNEL32.dll.GetCurrentThreadId
0x100014a1	0x10016078	import	0x100013c0	KERNEL32.dll.GetCurrentProcessId
0x100014a8	0x1001b910	string	0x100013c0	[PID:%-5d TID:%-5d]\t[ERROR]\t%-10S %S(%d): %S Failed to get file type with hr=0x%08x
0x100014af	0x10016154	import	0x100013c0	sfcorlib.dll.WriteLogFileW
0x100014d9	0x1001b83c	string	0x100013c0	CClassifierEngine::VirousCheck
0x100014e3	0x1001b6dc	string	0x100013c0	classifierengine.cpp
