reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x1400033c8	0x140003880	string	0x140003260	\e\e\e\e
0x140003ace	0x1400d8b48	import	0x1400037c0	KERNEL32.dll.RtlVirtualUnwind
0x140004da6	0x140004de4	string	0x140004ab0	ͦU\f2>Y blocks=Combining Diacritical Marks,Basic Latin
0x140004f85	0x1400d8b48	import	0x140004ab0	KERNEL32.dll.RtlVirtualUnwind
0x140005fbf	0x140007666	string	0x1400057a0	SUATAUAVAWA
0x1400086a2	0x1400d8b48	import	0x140008180	KERNEL32.dll.RtlVirtualUnwind
0x1400086f0	0x140008730	string	0x140008180	SUATAUAVAWI
0x1400086fa	0x140008730	string	0x140008180	SUATAUAVAWI
0x14000871b	0x140008fa6	string	0x140008180	SUATAUAVAWE
0x140008a07	0x140009226	string	0x140008180	SUATAUAVAWA
0x1400097bf	0x140009830	string	0x140008180	VWSUATAUAVAW
0x140009931	0x1400d8b48	import	0x140008180	KERNEL32.dll.RtlVirtualUnwind
0x14000c3fc	0x1400d8b48	import	0x14000ba00	KERNEL32.dll.RtlVirtualUnwind
0x14000ecc7	0x1400d8b48	import	0x14000e480	KERNEL32.dll.RtlVirtualUnwind
0x1400139a8	0x1400d8b48	import	0x14000ed00	KERNEL32.dll.RtlVirtualUnwind
0x140019ac6	0x140044d70	string	0x140019ab0	UVWH
0x14001abe9	0x1400d87f8	import	0x14001ab80	KERNEL32.dll.CreateProcessW
0x14001abf8	0x1400d87c8	import	0x14001ab80	KERNEL32.dll.CloseHandle
0x14001ac08	0x1400d8c18	import	0x14001ab80	KERNEL32.dll.WaitForSingleObject
0x14001ac23	0x1400d8920	import	0x14001ab80	KERNEL32.dll.GetExitCodeProcess
0x14001ac39	0x1400d87c8	import	0x14001ab80	KERNEL32.dll.CloseHandle
0x14001adff	0x1400cc9c0	string	0x14001adc0	setup.exe
0x14001ae54	0x14001ac50	string	0x14001adc0	VWSH
0x14001ae5e	0x1400d8838	import	0x14001adc0	KERNEL32.dll.EnumResourceNamesW
0x14001af4d	0x1400d8810	import	0x14001af40	KERNEL32.dll.DeleteFileW
