reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x1800011a1	0x1800640b8	import	0x180001090	ADVAPI32.dll.RegOpenKeyExA
0x1800011c3	0x180064e80	string	0x180001090	Image Path
0x1800011e2	0x1800640c0	import	0x180001090	ADVAPI32.dll.RegQueryValueExA
0x18000121e	0x180064e70	string	0x180001090	WatchSafe.ini
0x180001262	0x1800640c8	import	0x180001090	ADVAPI32.dll.RegCloseKey
0x180001278	0x18004d730	string	0x180001090	H;\r95
0x1800012d8	0x180064748	import	0x1800012c0	KERNEL32.dll.LoadResource
0x1800012fb	0x180064750	import	0x1800012c0	KERNEL32.dll.LockResource
0x18000130f	0x180064758	import	0x1800012c0	KERNEL32.dll.SizeofResource
0x1800014b1	0x180064730	import	0x180001460	KERNEL32.dll.MultiByteToWideChar
0x1800014e9	0x180064730	import	0x180001460	KERNEL32.dll.MultiByteToWideChar
0x180001514	0x180064738	import	0x180001460	KERNEL32.dll.WideCharToMultiByte
0x18000155b	0x180064738	import	0x180001460	KERNEL32.dll.WideCharToMultiByte
0x1800015cf	0x180064730	import	0x180001590	KERNEL32.dll.MultiByteToWideChar
0x1800015d9	0x180064728	import	0x180001590	KERNEL32.dll.GetLastError
0x1800016d6	0x180019810	string	0x180001640	@UWATH
0x1800016ee	0x18004d730	string	0x180001640	H;\r95
0x180001840	0x18004d730	string	0x180001710	H;\r95
0x180001a88	0x180064ee8	string	0x1800019e0	KeyStateChangeMessage
0x180001a8f	0x180064ec8	string	0x1800019e0	CNCB USBKEY2 CSP WD
0x180001a96	0x180064edc	string	0x1800019e0	%s_%s
0x180001ab9	0x180064718	import	0x1800019e0	KERNEL32.dll.OpenEventA
0x180001b1b	0x180064720	import	0x1800019e0	KERNEL32.dll.SetEvent
0x180001b34	0x18004d730	string	0x1800019e0	H;\r95
0x180001d72	0x18004d730	string	0x180001b50	H;\r95
0x180001ed3	0x180064f08	string	0x180001eb0	GAKeyRWCard
0x180001f64	0x18004d730	string	0x180001eb0	H;\r95
0x180002240	0x180064ee8	string	0x180002100	KeyStateChangeMessage
0x180002247	0x180064ec8	string	0x180002100	CNCB USBKEY2 CSP WD
0x18000224e	0x180064edc	string	0x180002100	%s_%s
0x180002271	0x180064718	import	0x180002100	KERNEL32.dll.OpenEventA
0x1800022b6	0x180064f14	string	0x180002100	CNCB
0x1800022e2	0x180064720	import	0x180002100	KERNEL32.dll.SetEvent
0x1800022f3	0x18004d730	string	0x180002100	H;\r95
0x180002327	0x180064f20	string	0x180002310	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/
0x1800025a3	0x18004d730	string	0x180002310	H;\r95
0x1800027e9	0x180002818	string	0x1800025b0	<=uVMc
0x180002902	0x18004d730	string	0x1800025b0	H;\r95
0x18000295b	0x180064f80	string	0x180002920	Software\Microsoft\Windows\CurrentVersion\Uninstall\{D1BD28D5-2B6B-B238-945B-658D31A1DDDA}
0x180002974	0x1800640b8	import	0x180002920	ADVAPI32.dll.RegOpenKeyExA
0x1800029a3	0x180064f68	string	0x180002920	VersionForDriver
0x1800029c4	0x1800640c0	import	0x180002920	ADVAPI32.dll.RegQueryValueExA
0x1800029f9	0x18004d730	string	0x180002920	H;\r95
0x180002a99	0x1800646e0	import	0x180002a60	KERNEL32.dll.GetModuleFileNameA
0x180002ad0	0x1800646e8	import	0x180002a60	KERNEL32.dll.GlobalAlloc
0x180002adc	0x1800646f0	import	0x180002a60	KERNEL32.dll.GlobalLock
0x180002b38	0x180065168	string	0x180002a60	%d.%d.%d.%d
0x180002b4a	0x1800646f8	import	0x180002a60	KERNEL32.dll.GlobalUnlock
0x180002b53	0x180064700	import	0x180002a60	KERNEL32.dll.GlobalFree
0x180002b6c	0x18004d730	string	0x180002a60	H;\r95
0x180002c0c	0x180064f08	string	0x180002b90	GAKeyRWCard
0x180002cca	0x18004d730	string	0x180002b90	H;\r95
