reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x10001022	0x100011d2	string	0x10001000	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x100013e3	0x10001430	string	0x10001390	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x100013ed	0x10001430	string	0x10001390	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x10001453	0x100014c4	string	0x10001390	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x1000145d	0x100014c4	string	0x10001390	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x1000161b	0x10001917	string	0x10001600	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x100045e6	0x10004624	string	0x1000418f	ͦU\f2>Y blocks=Combining Diacritical Marks,Basic Latin
0x10007712	0x10007a72	string	0x100076f0	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x10008157	0x10008220	string	0x1000813d	3\a3_
0x100081f9	0x10008220	string	0x100081df	3\a3_
0x10008587	0x10008650	string	0x1000856d	3\a3_
0x10008629	0x10008650	string	0x1000860f	3\a3_
0x10009733	0x10009771	string	0x100092e0	iiiw
0x10009ef5	0x10009ef7	string	0x100092e0	yDDD
0x1000a465	0x10008220	string	0x1000a3df	3\a3_
0x1000a557	0x10008650	string	0x1000a3df	3\a3_
0x1000a622	0x10008650	string	0x1000a3df	3\a3_
0x1000a70a	0x1000abee	string	0x1000a700	_^[]Ð blocks=Basic Latin,Latin-1 Supplement
0x1000e7ca	0x1000e900	string	0x1000e7c0	USVW1
0x1000eaba	0x1000eb10	string	0x1000eab0	USVW1
0x1000ec7a	0x1000ecb0	string	0x1000ec70	USVW
0x1000eebd	0x1000ef8b	string	0x1000edd0	_^[]
0x1000eed8	0x1000ef8b	string	0x1000edd0	_^[]
0x1000eef6	0x1000ef8b	string	0x1000edd0	_^[]
0x1000ef14	0x1000ef8b	string	0x1000edd0	_^[]
0x1000ef32	0x1000ef8b	string	0x1000edd0	_^[]
0x1000ef50	0x1000ef8b	string	0x1000edd0	_^[]
0x1000ef6e	0x1000ef8b	string	0x1000edd0	_^[]
0x1000f07d	0x1000f14b	string	0x1000ef90	_^[]
0x1000f098	0x1000f14b	string	0x1000ef90	_^[]
0x1000f0b6	0x1000f14b	string	0x1000ef90	_^[]
0x1000f0d4	0x1000f14b	string	0x1000ef90	_^[]
0x1000f0f2	0x1000f14b	string	0x1000ef90	_^[]
