reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x4010cd	0x431dcc	import	0x4010c0	SHELL32.dll.SHGetMalloc
0x401107	0x431dd0	import	0x4010c0	SHELL32.dll.SHBrowseForFolderW
0x40111c	0x431dd4	import	0x4010c0	SHELL32.dll.SHGetPathFromIDListW
0x40114b	0x431ea4	import	0x40113d	USER32.dll.GetDlgItem
0x401152	0x431ea0	import	0x40113d	USER32.dll.EnableWindow
0x401170	0x431ea4	import	0x40115b	USER32.dll.GetDlgItem
0x401177	0x431eac	import	0x40115b	USER32.dll.ShowWindow
0x4011b4	0x431e98	import	0x401180	USER32.dll.GetParent
0x4011c4	0x431ea4	import	0x401180	USER32.dll.GetDlgItem
0x4011da	0x431e9c	import	0x401180	USER32.dll.SetWindowTextW
0x40180d	0x427000	import	0x40180d	KERNEL32.dll.GetLastError
0x40182e	0x427008	import	0x40180d	KERNEL32.dll.FormatMessageW
0x401b61	0x42702c	import	0x401b46	KERNEL32.dll.CloseHandle
0x401c1c	0x427030	import	0x401b94	KERNEL32.dll.CreateFileW
0x401c51	0x427030	import	0x401b94	KERNEL32.dll.CreateFileW
0x401cc6	0x427010	import	0x401cb6	KERNEL32.dll.GetStdHandle
0x401cde	0x427018	import	0x401cb6	KERNEL32.dll.ReadFile
0x401d10	0x427000	import	0x401cb6	KERNEL32.dll.GetLastError
0x401d2f	0x427000	import	0x401cb6	KERNEL32.dll.GetLastError
0x401daf	0x42700c	import	0x401da3	KERNEL32.dll.GetFileType
0x401e2b	0x401e30	string	0x401dce	3\rL$
0x401e6a	0x427030	import	0x401dce	KERNEL32.dll.CreateFileW
0x401e77	0x427000	import	0x401dce	KERNEL32.dll.GetLastError
0x401eac	0x427030	import	0x401dce	KERNEL32.dll.CreateFileW
0x401eb4	0x427000	import	0x401dce	KERNEL32.dll.GetLastError
0x401ef9	0x427028	import	0x401dce	KERNEL32.dll.SetFileTime
0x401f8f	0x427024	import	0x401f3b	KERNEL32.dll.SetFilePointer
0x401f9c	0x427000	import	0x401f3b	KERNEL32.dll.GetLastError
0x4020d0	0x42701c	import	0x4020b6	KERNEL32.dll.FlushFileBuffers
0x402180	0x427028	import	0x4020b6	KERNEL32.dll.SetFileTime
0x4021c5	0x427024	import	0x40218f	KERNEL32.dll.SetFilePointer
0x4021d1	0x427000	import	0x40218f	KERNEL32.dll.GetLastError
0x402211	0x427020	import	0x40220e	KERNEL32.dll.SetEndOfFile
0x402239	0x427010	import	0x40221e	KERNEL32.dll.GetStdHandle
0x402279	0x427014	import	0x40221e	KERNEL32.dll.WriteFile
0x4022a6	0x427014	import	0x40221e	KERNEL32.dll.WriteFile
0x402413	0x427040	import	0x402402	KERNEL32.dll.DeleteFileW
0x402441	0x427040	import	0x402402	KERNEL32.dll.DeleteFileW
0x40247a	0x42703c	import	0x402469	KERNEL32.dll.GetFileAttributesW
0x4024a6	0x42703c	import	0x402469	KERNEL32.dll.GetFileAttributesW
0x402512	0x427034	import	0x4024eb	KERNEL32.dll.CreateDirectoryW
0x402545	0x427034	import	0x4024eb	KERNEL32.dll.CreateDirectoryW
0x402562	0x427000	import	0x4024eb	KERNEL32.dll.GetLastError
0x402635	0x427030	import	0x40258f	KERNEL32.dll.CreateFileW
0x40265c	0x40271b	string	0x40258f	_^][
0x402679	0x427030	import	0x40258f	KERNEL32.dll.CreateFileW
0x402686	0x40271b	string	0x40258f	_^][
0x4026fa	0x427028	import	0x40258f	KERNEL32.dll.SetFileTime
0x402701	0x42702c	import	0x40258f	KERNEL32.dll.CloseHandle
0x402709	0x40271b	string	0x40258f	_^][
0x40273c	0x427038	import	0x402728	KERNEL32.dll.SetFileAttributesW
0x40276d	0x427038	import	0x402728	KERNEL32.dll.SetFileAttributesW
0x4027a3	0x427048	import	0x402797	KERNEL32.dll.FindClose
0x4027d9	0x427048	import	0x4027aa	KERNEL32.dll.FindClose
0x402907	0x42704c	import	0x4028d8	KERNEL32.dll.FindFirstFileW
0x40294b	0x427000	import	0x4028d8	KERNEL32.dll.GetLastError
0x402973	0x427050	import	0x4028d8	KERNEL32.dll.FindNextFileW
0x40297f	0x427000	import	0x4028d8	KERNEL32.dll.GetLastError
0x402a82	0x427054	import	0x402a5d	KERNEL32.dll.GetVersionExW
0x402b5e	0x402bc6	string	0x402acd	_^][
0x402b67	0x402bc6	string	0x402acd	_^][
0x402cde	0x402da2	string	0x402c7a	_^][
0x402cf4	0x402cfd	string	0x402c7a	j.Y3
0x402cf8	0x402da2	string	0x402c7a	_^][
0x402d3d	0x402da2	string	0x402c7a	_^][
0x402d7a	0x402da2	string	0x402c7a	_^][
0x402f5d	0x42705c	import	0x402f26	KERNEL32.dll.GetFullPathNameW
0x402f93	0x42705c	import	0x402f26	KERNEL32.dll.GetFullPathNameW
0x4030e2	0x4030f6	string	0x402ff2	j.[]f9
0x40317a	0x427060	import	0x40314e	KERNEL32.dll.FoldStringW
0x403223	0x427300	string	0x403206	%c:\
0x40332a	0x403350	string	0x4032e9	j\Xf9
0x40333b	0x42730c	string	0x4032e9	\\?\
0x403377	0x42730c	string	0x4032e9	\\?\
0x4033a6	0x427058	import	0x4032e9	KERNEL32.dll.GetCurrentDirectoryW
0x4033d8	0x42730c	string	0x4032e9	\\?\
0x40342b	0x42730c	string	0x4032e9	\\?\
0x4035a0	0x4272e8	string	0x40358b	?*<>|"
0x4038c2	0x427320	string	0x403898	Maximum allowed array size (%u) is exceeded
0x403986	0x427320	string	0x40395c	Maximum allowed array size (%u) is exceeded
0x403c79	0x427448	string	0x403c64	SIZE
0x403d7f	0x403db5	string	0x403d30	ho;@
0x403da3	0x403db5	string	0x403d30	ho;@
0x403ea5	0x431e78	import	0x403e89	USER32.dll.SetProcessDefaultLayout
0x403ef3	0x427064	import	0x403eae	KERNEL32.dll.GetModuleFileNameW
0x403f5c	0x403f7a	string	0x403eae	hI;@
0x403fbb	0x40218f	string	0x403eae	QSUV
0x403fd5	0x401fb1	string	0x403eae	QQSUV
0x40400b	0x427378	string	0x403eae	*messages***
0x404044	0x427388	string	0x403eae	*messages***
0x40405e	0x40408a	string	0x403eae	G;}T
0x404068	0x40408a	string	0x403eae	G;}T
0x404112	0x401fb1	string	0x403eae	QQSUV
0x4041e6	0x4041f2	string	0x403eae	j:Yf9\fx
0x404208	0x4273b0	string	0x403eae	STRINGS
0x40420f	0x4273c0	string	0x403eae	DIALOG
0x404216	0x4273d0	string	0x403eae	MENU
0x40421d	0x4273dc	string	0x403eae	DIRECTION
0x4045bf	0x427068	import	0x4045ba	KERNEL32.dll.GetModuleHandleW
0x4045cd	0x42706c	import	0x4045ba	KERNEL32.dll.FindResourceW
0x4045d5	0x4045db	string	0x4045ba	^Àyd blocks=Basic Latin,Latin-1 Supplement
0x4045e9	0x431e80	import	0x4045dd	USER32.dll.GetWindowLongW
0x4045fb	0x431e7c	import	0x4045dd	USER32.dll.SetWindowLongW
0x40461e	0x42742c	string	0x404604	$%s:
0x4046ab	0x431e90	import	0x404604	USER32.dll.SetDlgItemTextW
0x4046e5	0x431e84	import	0x404604	USER32.dll.GetWindowRect
0x4046f1	0x431e88	import	0x404604	USER32.dll.GetClientRect
0x40478f	0x431e80	import	0x404604	USER32.dll.GetWindowLongW
0x4047b0	0x431e94	import	0x404604	USER32.dll.SetWindowPos
0x4047bc	0x431e84	import	0x404604	USER32.dll.GetWindowRect
0x4047e1	0x427438	string	0x404604	CAPTION
