reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x403b70	0x403bc4	string	0x4039b0	gzpcgp`v`pW\JVITBQzpac~g`a~N\A
0x403ecc	0x403f40	string	0x4039b0	Kamofnl_>
0x40419a	0x4041fe	string	0x4039b0	TOUV
0x404251	0x4042bc	string	0x4039b0	Content-Type
0x404262	0x404264	string	0x4039b0	PR_GetError
0x40426e	0x404270	string	0x4039b0	HTTP/1.1
0x4042ba	0x4042bc	string	0x4039b0	Content-Type
0x4042d5	0x404340	string	0x4039b0	\r\n0\r\n\r\n
0x40444a	0x40444c	string	0x4039b0	NtQueryInformationProcess
0x40468d	0x4046f0	string	0x4039b0	SysListView32
0x404810	0x404888	string	0x4039b0	"%s"
0x4048d1	0x40493c	string	0x4039b0	ComSpec
0x404aba	0x404abc	string	0x4039b0	aeiouy
0x404e87	0x404e8f	string	0x404c8c	f90u؉X blocks=Basic Latin,Arabic
0x405a92	0x405a99	string	0x405a59	j|Yf
0x405de3	0x405dd9	string	0x405dc3	92t\v@
0x405e1e	0x405e14	string	0x405de9	9>t\n@
0x4064d0	0x4064ea	string	0x406445	9t$0t5
0x40805f	0x408055	string	0x40803f	92t\v@
0x409ba7	0x409c47	string	0x409aae	;w(u\n
0x40ca18	0x40ca2a	string	0x40c9d2	_^[]
0x40ca59	0x40ca4b	string	0x40ca31	3,<a|
0x40d508	0x40d51d	string	0x40d4d1	Vj2j
0x40d765	0x40d77f	string	0x40d6d7	8]\bt)
0x40d8ce	0x40d8d5	string	0x40d84e	\t\$6
0x40fc8b	0x40fc9a	string	0x40fafe	3ۋD$ blocks=Basic Latin,Arabic
0x412f52	0x412f8f	string	0x412ef4	f;t$rt
0x415319	0x41532b	string	0x4152b9	C;\$
0x416799	0x416839	string	0x416655	WWWh
0x4167c2	0x416839	string	0x416655	WWWh
0x4167d6	0x416839	string	0x416655	WWWh
0x416811	0x416839	string	0x416655	WWWh
0x417330	0x417334	string	0x4172e4	_^[]
0x4173bd	0x4173c1	string	0x417370	_^[]
0x417625	0x417644	string	0x417613	+M49
0x41763c	0x417644	string	0x417613	+M49
0x418ab2	0x418ab7	string	0x418a52	jDZ3
0x4198c3	0x4198d6	string	0x4198b8	+t$\f
0x419dc5	0x419df0	string	0x419b66	9|$0
0x41beee	0x41bf08	string	0x41bec6	j%Zf
0x41bef6	0x41bf08	string	0x41bec6	j%Zf
0x41bf02	0x41bf08	string	0x41bec6	j%Zf
0x41c245	0x41c251	string	0x41c1cf	_^[]
0x41d58a	0x41d58e	string	0x41d557	@;E\br
