reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x140001028	0x14003fe80	string	0x140001000	VWSH
0x140001052	0x1400014f9	string	0x140001000	AWAVATVWUSH
0x140001068	0x14000112d	string	0x140001000	AWAVAUATVWUSH
0x1400010b4	0x140040b00	string	0x140001090	AVVWSH
0x1400010b9	0x140158490	string	0x140001090	crashpad-handler
0x1400010df	0x140158490	string	0x140001090	crashpad-handler
0x1400010f7	0x14003d076	string	0x140001090	VWSH
0x140001177	0x140021be8	string	0x14000112d	AWAVVWSH
0x14000118d	0x14003fc80	string	0x14000112d	AWAVAUATVWSH
0x1400011a6	0x140001786	string	0x14000112d	AVVWSH
0x1400011bb	0x140149040	string	0x14000112d	--url=
0x1400011f9	0x140052480	string	0x14000112d	AWAVVWSH
0x1400012bc	0x140149040	string	0x14000112d	--url=
0x1400012dd	0x140052480	string	0x14000112d	AWAVVWSH
0x1400013c9	0x140001800	string	0x14000112d	AWAVATVWSH
0x1400013eb	0x14006e8a0	string	0x14000112d	AVVWSH
0x1400013fd	0x140149000	string	0x14000112d	type
0x140001404	0x140158098	string	0x14000112d	user-data-dir
0x140001411	0x14006ebe0	string	0x14000112d	AWAVAUATVWUSH
0x140001429	0x14003fe10	string	0x14000112d	VWSH
0x140001480	0x140040b00	string	0x14000145c	AVVWSH
0x140001485	0x1401584b0	string	0x14000145c	fallback-handler
0x1400014ab	0x1401584b0	string	0x14000145c	fallback-handler
0x1400014c3	0x14003d076	string	0x14000145c	VWSH
0x140001531	0x140040b00	string	0x1400014f9	AVVWSH
0x14000155f	0x14004e790	string	0x1400014f9	AWAVAUATVWUSH
0x1400015bb	0x140150784	string	0x1400014f9	crash_reporter
0x1400015cd	0x1400016f0	string	0x1400014f9	AWAVVWSH
0x1400015f6	0x14006de00	string	0x1400014f9	AWAVVWUSH
0x140001647	0x140001a38	string	0x1400014f9	AVVWUSH
0x14000164c	0x140150784	string	0x1400014f9	crash_reporter
0x14000165b	0x1400016f0	string	0x1400014f9	AWAVVWSH
0x14000168a	0x1400016f0	string	0x1400014f9	AWAVVWSH
0x1400016a5	0x14006eae6	string	0x1400014f9	AWAVVWUSH
0x1400017dc	0x14003d12c	string	0x140001786	AWAVATVWSH
0x140001960	0x14000197a	string	0x140001952	VWSH
0x140001a6a	0x1401506b0	string	0x140001a38	OPERA_CRASH_EMAIL
0x140001ab2	0x1401506f8	string	0x140001a38	Email
0x140001ac4	0x1400016f0	string	0x140001a38	AWAVVWSH
0x140001ad9	0x14003c190	string	0x140001a38	AWAVVWSH
0x140001aec	0x1400024cc	string	0x140001a38	AWAVVWSH
0x140001b1b	0x1401506fe	string	0x140001a38	ptype
0x140001b2d	0x1400016f0	string	0x140001a38	AWAVVWSH
0x140001b3a	0x140150784	string	0x140001a38	crash_reporter
0x140001b44	0x1400016f0	string	0x140001a38	AWAVVWSH
0x140001b57	0x1400024cc	string	0x140001a38	AWAVVWSH
0x140001b92	0x14018a598	import	0x140001a38	KERNEL32.dll.OpenProcess
0x140001ba6	0x1400027f0	string	0x140001a38	VWSH
0x140001bd5	0x14018a3e8	import	0x140001a38	KERNEL32.dll.GetProcessTimes
0x140001c30	0x14004e220	string	0x140001a38	AWAVVWSH
0x140001c35	0x14015071a	string	0x140001a38	StartupTime
0x140001c47	0x1400016f0	string	0x140001a38	AWAVVWSH
0x140001c7a	0x1400024cc	string	0x140001a38	AWAVVWSH
0x140001cdd	0x14004e220	string	0x140001a38	AWAVVWSH
0x140001ce2	0x140150704	string	0x140001a38	CrashTime
0x140001cf4	0x1400016f0	string	0x140001a38	AWAVVWSH
0x140001d27	0x1400024cc	string	0x140001a38	AWAVVWSH
0x140001dce	0x140043920	string	0x140001a38	VWSH
0x140001e03	0x140059e60	string	0x140001a38	VWSH
0x140001e61	0x14004e220	string	0x140001a38	AWAVVWSH
0x140001e66	0x14015070e	string	0x140001a38	InstallTime
0x140001e78	0x1400016f0	string	0x140001a38	AWAVVWSH
0x140001eab	0x1400024cc	string	0x140001a38	AWAVVWSH
0x140001f19	0x1401506d9	string	0x140001a38	prod
0x140001f2b	0x1400016f0	string	0x140001a38	AWAVVWSH
0x140001f3e	0x1400016f0	string	0x140001a38	AWAVVWSH
0x140001f51	0x1400024cc	string	0x140001a38	AWAVVWSH
0x140001f9f	0x1400016f0	string	0x140001a38	AWAVVWSH
0x140001fd2	0x1400024cc	string	0x140001a38	AWAVVWSH
0x140002021	0x14004dda0	string	0x140001a38	AWAVVWSH
0x140002038	0x1400016f0	string	0x140001a38	AWAVVWSH
0x14000206b	0x1400024cc	string	0x140001a38	AWAVVWSH
0x1400020b8	0x1401506c2	string	0x140001a38	BuildID
