reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x40102c	0x408204	import	0x401000	USER32.dll.DefWindowProcA
0x401047	0x408208	import	0x401000	USER32.dll.BeginPaint
0x40105b	0x40820c	import	0x401000	USER32.dll.GetClientRect
0x401068	0x40805c	import	0x401000	GDI32.dll.DeleteObject
0x4010cf	0x408064	import	0x401000	GDI32.dll.CreateBrushIndirect
0x4010e4	0x408210	import	0x401000	USER32.dll.FillRect
0x401105	0x408054	import	0x401000	GDI32.dll.CreateFontIndirectA
0x401126	0x408050	import	0x401000	GDI32.dll.SetBkMode
0x401130	0x408058	import	0x401000	GDI32.dll.SetTextColor
0x401139	0x40804c	import	0x401000	GDI32.dll.SelectObject
0x401156	0x408214	import	0x401000	USER32.dll.DrawTextA
0x40116e	0x40826c	import	0x401000	USER32.dll.EndPaint
0x4013e4	0x408148	import	0x401389	KERNEL32.dll.MulDiv
0x4013f4	0x408200	import	0x401389	USER32.dll.SendMessageA
0x4014ac	0x4081c8	import	0x401434	USER32.dll.PostQuitMessage
0x4014e9	0x40808c	import	0x401434	KERNEL32.dll.Sleep
0x4014f7	0x40824c	import	0x401434	USER32.dll.SetForegroundWindow
0x401575	0x408278	import	0x401434	USER32.dll.ShowWindow
0x4015a8	0x4080f8	import	0x401434	KERNEL32.dll.SetFileAttributesA
0x40160d	0x4080fc	import	0x401434	KERNEL32.dll.GetFileAttributesA
0x40163c	0x4080b4	import	0x401434	KERNEL32.dll.SetCurrentDirectoryA
0x401685	0x408104	import	0x401434	KERNEL32.dll.MoveFileA
0x4016ce	0x408108	import	0x401434	KERNEL32.dll.GetFullPathNameA
0x401714	0x408100	import	0x401434	KERNEL32.dll.GetShortPathNameA
0x401733	0x408110	import	0x401434	KERNEL32.dll.SearchPathA
0x4017c2	0x4080f4	import	0x401434	KERNEL32.dll.CompareFileTime
0x4018bb	0x40810c	import	0x401434	KERNEL32.dll.SetFileTime
0x4018c4	0x408114	import	0x401434	KERNEL32.dll.CloseHandle
0x401a04	0x408118	import	0x401434	KERNEL32.dll.lstrcmpiA
0x401a16	0x408124	import	0x401434	KERNEL32.dll.lstrcmpA
0x401a31	0x408160	import	0x401434	KERNEL32.dll.ExpandEnvironmentStringsA
0x401a44	0x408124	import	0x401434	KERNEL32.dll.lstrcmpA
0x401b55	0x408274	import	0x401434	USER32.dll.wsprintfA
0x401bd2	0x40815c	import	0x401434	KERNEL32.dll.GlobalFree
0x401be4	0x408158	import	0x401434	KERNEL32.dll.GlobalAlloc
0x401c7a	0x408258	import	0x401434	USER32.dll.SendMessageTimeoutA
0x401c92	0x408200	import	0x401434	USER32.dll.SendMessageA
0x401cc0	0x40825c	import	0x401434	USER32.dll.FindWindowExA
0x401ce5	0x408254	import	0x401434	USER32.dll.IsWindow
0x401d15	0x408244	import	0x401434	USER32.dll.GetDlgItem
0x401d36	0x408248	import	0x401434	USER32.dll.SetWindowLongA
0x401d45	0x408244	import	0x401434	USER32.dll.GetDlgItem
0x401d52	0x40820c	import	0x401434	USER32.dll.GetClientRect
0x401d73	0x408250	import	0x401434	USER32.dll.LoadImageA
0x401d81	0x408200	import	0x401434	USER32.dll.SendMessageA
0x401d90	0x40805c	import	0x401434	GDI32.dll.DeleteObject
0x401d9e	0x408238	import	0x401434	USER32.dll.GetDC
0x401db8	0x408060	import	0x401434	GDI32.dll.GetDeviceCaps
0x401dc0	0x408148	import	0x401434	KERNEL32.dll.MulDiv
0x401dd1	0x4081f4	import	0x401434	USER32.dll.ReleaseDC
0x401e20	0x408054	import	0x401434	GDI32.dll.CreateFontIndirectA
0x401e49	0x408278	import	0x401434	USER32.dll.ShowWindow
0x401e54	0x4081f8	import	0x401434	USER32.dll.EnableWindow
0x401f26	0x408114	import	0x401434	KERNEL32.dll.CloseHandle
0x401f92	0x408158	import	0x401434	KERNEL32.dll.GlobalAlloc
0x40202b	0x40203a	string	0x401434	j\bSV
0x40202e	0x408154	import	0x401434	KERNEL32.dll.GetModuleHandleA
0x40203e	0x408150	import	0x401434	KERNEL32.dll.LoadLibraryExA
0x4020b8	0x408144	import	0x401434	KERNEL32.dll.FreeLibrary
0x402153	0x408290	import	0x401434	ole32.dll.CoCreateInstance
0x402202	0x408140	import	0x401434	KERNEL32.dll.MultiByteToWideChar
0x4022bd	0x40817c	import	0x401434	SHELL32.dll.SHFileOperationA
0x402335	0x40814c	import	0x401434	KERNEL32.dll.WritePrivateProfileStringA
0x402373	0x408138	import	0x401434	KERNEL32.dll.GetPrivateProfileStringA
0x4023a2	0x408020	import	0x401434	ADVAPI32.dll.RegDeleteValueA
0x4023ab	0x408024	import	0x401434	ADVAPI32.dll.RegCloseKey
0x40245e	0x408028	import	0x401434	ADVAPI32.dll.RegSetValueExA
0x4024a3	0x40802c	import	0x401434	ADVAPI32.dll.RegQueryValueExA
0x402517	0x408030	import	0x401434	ADVAPI32.dll.RegEnumKeyA
0x40252a	0x408018	import	0x401434	ADVAPI32.dll.RegEnumValueA
0x402542	0x408024	import	0x401434	ADVAPI32.dll.RegCloseKey
0x402672	0x408134	import	0x401434	KERNEL32.dll.SetFilePointer
0x4026a6	0x408134	import	0x401434	KERNEL32.dll.SetFilePointer
0x4026c9	0x40813c	import	0x401434	KERNEL32.dll.FindClose
0x4026e6	0x40812c	import	0x401434	KERNEL32.dll.FindNextFileA
0x40270d	0x408128	import	0x401434	KERNEL32.dll.FindFirstFileA
0x402784	0x408158	import	0x401434	KERNEL32.dll.GlobalAlloc
0x4027eb	0x40815c	import	0x401434	KERNEL32.dll.GlobalFree
0x4027fe	0x40815c	import	0x401434	KERNEL32.dll.GlobalFree
0x402816	0x408114	import	0x401434	KERNEL32.dll.CloseHandle
0x40282a	0x408130	import	0x401434	KERNEL32.dll.DeleteFileA
0x402941	0x408200	import	0x401434	USER32.dll.SendMessageA
0x402951	0x4081fc	import	0x401434	USER32.dll.InvalidateRect
0x402bff	0x408030	import	0x402bcd	ADVAPI32.dll.RegEnumKeyA
0x402c3b	0x408024	import	0x402bcd	ADVAPI32.dll.RegCloseKey
0x402c5c	0x408024	import	0x402bcd	ADVAPI32.dll.RegCloseKey
0x402c6f	0x40801c	import	0x402bcd	ADVAPI32.dll.RegDeleteKeyA
0x402c97	0x408240	import	0x402c7c	USER32.dll.SetTimer
0x402cba	0x402cbe	string	0x402c7c	PjdQ
0x402cc2	0x408148	import	0x402c7c	KERNEL32.dll.MulDiv
0x402ccc	0x40a01c	string	0x402c7c	verifying installer: %d%%
0x402cd2	0x408274	import	0x402c7c	USER32.dll.wsprintfA
0x402ce2	0x40827c	import	0x402c7c	USER32.dll.SetWindowTextA
0x402d12	0x408270	import	0x402cff	USER32.dll.DestroyWindow
0x402d30	0x408090	import	0x402cff	KERNEL32.dll.GetTickCount
0x402d4d	0x40823c	import	0x402cff	USER32.dll.CreateDialogParamA
0x402d5b	0x408278	import	0x402cff	USER32.dll.ShowWindow
0x402d74	0x408090	import	0x402d63	KERNEL32.dll.GetTickCount
0x402d90	0x408078	import	0x402d63	KERNEL32.dll.GetModuleFileNameA
0x402db3	0x40a104	string	0x402d63	Error launching installer
0x402ddc	0x408074	import	0x402d63	KERNEL32.dll.GetFileSize
0x402f14	0x408158	import	0x402d63	KERNEL32.dll.GlobalAlloc
0x402f3b	0x40a038	string	0x402d63	Installer integrity check has failed. Common causes include\nincomplete download and damaged media. Contact the\ninstaller's author to obtain a new copy.\n\nMore information at:\nhttp://nsis.sf.net/NSIS_Error
0x402f7a	0x408134	import	0x402d63	KERNEL32.dll.SetFilePointer
0x402ffd	0x408090	import	0x402f9c	KERNEL32.dll.GetTickCount
0x4030d3	0x408148	import	0x402f9c	KERNEL32.dll.MulDiv
0x4030dd	0x40a120	string	0x402f9c	... %d%%
0x4030e3	0x408274	import	0x402f9c	USER32.dll.wsprintfA
0x4031d2	0x408134	import	0x4031c4	KERNEL32.dll.SetFilePointer
0x4036ff	0x408114	import	0x4036f4	KERNEL32.dll.CloseHandle
0x403753	0x408144	import	0x403739	KERNEL32.dll.FreeLibrary
0x40375a	0x40815c	import	0x403739	KERNEL32.dll.GlobalFree
0x4037a2	0x408158	import	0x40376e	KERNEL32.dll.GlobalAlloc
0x403802	0x40833c	string	0x4037ce	Control Panel\Desktop\ResourceLocale
0x403834	0x408314	string	0x4037ce	.DEFAULT\Control Panel\International
0x40384e	0x403a93	string	0x4037ce	SUVW
0x4038cb	0x40a1f8	string	0x4037ce	.exe
