reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x140001148	0x14004a6a0	import	0x140001130	KERNEL32.dll.LoadResource
0x14000116b	0x14004a6a8	import	0x140001130	KERNEL32.dll.LockResource
0x14000117f	0x14004a6b0	import	0x140001130	KERNEL32.dll.SizeofResource
0x1400011fd	0x14004a698	import	0x1400011d0	KERNEL32.dll.FindResourceA
0x140001254	0x14004a6c0	import	0x1400011d0	KERNEL32.dll.WideCharToMultiByte
0x14000129e	0x14004a6c0	import	0x1400011d0	KERNEL32.dll.WideCharToMultiByte
0x14000173d	0x14002f740	string	0x140001700	H;\r)c
0x140001cdd	0x14004a690	import	0x140001c40	KERNEL32.dll.OpenProcess
0x140001d39	0x140005450	string	0x140001c40	@VWATH
0x140001d60	0x1400549f0	string	0x140001c40	Procexp.exe
0x140001d93	0x140054a00	string	0x140001c40	Sysinternals
0x140001e48	0x14004a688	import	0x140001c40	KERNEL32.dll.CloseHandle
0x140001e7e	0x14002f740	string	0x140001c40	H;\r)c
0x140001f07	0x140054a10	string	0x140001ea0	Uninstall.exe
0x140001f0e	0x1400549c8	string	0x140001ea0	PCWProtector
0x140001f15	0x140002c00	string	0x140001ea0	@UVWATAUAVAW
0x140001f1f	0x140054a20	string	0x140001ea0	Uninstall64.exe
0x140001f26	0x1400549c8	string	0x140001ea0	PCWProtector
0x140001f30	0x140002c00	string	0x140001ea0	@UVWATAUAVAW
0x140001fa6	0x140054a30	string	0x140001ea0	AcroRd32.exe
0x140001fad	0x140054a40	string	0x140001ea0	Adobe Reader
0x140001fb7	0x140002c00	string	0x140001ea0	@UVWATAUAVAW
0x140001fc1	0x140054a30	string	0x140001ea0	AcroRd32.exe
0x140001fc8	0x140054a50	string	0x140001ea0	Adobe Acrobat Reader DC
0x140001fd2	0x140002c00	string	0x140001ea0	@UVWATAUAVAW
0x140001fdc	0x140054a68	string	0x140001ea0	Acrobat.exe
0x140001fe3	0x140054a78	string	0x140001ea0	Adobe Acrobat
0x140001fed	0x140002c00	string	0x140001ea0	@UVWATAUAVAW
0x140001ff7	0x140054a68	string	0x140001ea0	Acrobat.exe
0x140001ffe	0x140054a88	string	0x140001ea0	Adobe Acrobat DC
0x140002008	0x140002c00	string	0x140001ea0	@UVWATAUAVAW
0x140002052	0x14004a680	import	0x140001ea0	KERNEL32.dll.GetUserDefaultUILanguage
0x140002067	0x140054aa0	string	0x140001ea0	Adobe Reader
0x1400020dd	0x140054aa0	string	0x140001ea0	Adobe Reader
0x14000212f	0x140054aa0	string	0x140001ea0	Adobe Reader
0x140002163	0x140054ad8	string	0x140001ea0	PDF Reader is currenlty running. Do you close PDF Reader?
0x1400021d6	0x140054ad8	string	0x140001ea0	PDF Reader is currenlty running. Do you close PDF Reader?
0x140002228	0x140054ad8	string	0x140001ea0	PDF Reader is currenlty running. Do you close PDF Reader?
0x140002263	0x140054a30	string	0x140001ea0	AcroRd32.exe
0x14000226f	0x140054a68	string	0x140001ea0	Acrobat.exe
0x1400022f0	0x140054b18	string	0x140001ea0	iexplore.exe
0x140002335	0x14004a680	import	0x140001ea0	KERNEL32.dll.GetUserDefaultUILanguage
0x140002445	0x140054b58	string	0x140001ea0	IE is currenlty running. Do you close IE?
0x1400024b8	0x140054b58	string	0x140001ea0	IE is currenlty running. Do you close IE?
0x140002509	0x140054b58	string	0x140001ea0	IE is currenlty running. Do you close IE?
0x140002544	0x140054b18	string	0x140001ea0	iexplore.exe
0x1400025ce	0x140054b88	string	0x140001ea0	taskmgr.exe
0x140002608	0x140001c40	string	0x140001ea0	@VWATAUAV
0x140002639	0x14004a690	import	0x140001ea0	KERNEL32.dll.OpenProcess
0x14000264c	0x14004a678	import	0x140001ea0	KERNEL32.dll.TerminateProcess
0x140002655	0x14004a688	import	0x140001ea0	KERNEL32.dll.CloseHandle
0x1400026a8	0x140054b98	string	0x140001ea0	PCWProtectorService
0x1400026af	0x140054bb0	string	0x140001ea0	PCWProtectorService.exe
0x1400026b9	0x140002c00	string	0x140001ea0	@UVWATAUAVAW
0x1400026c3	0x140054bc8	string	0x140001ea0	PCWProtectorDummy.exe
0x1400026ca	0x140054bc8	string	0x140001ea0	PCWProtectorDummy.exe
0x1400026d4	0x140002c00	string	0x140001ea0	@UVWATAUAVAW
0x1400026de	0x140054be0	string	0x140001ea0	PCWProtector.exe
0x1400026e5	0x140054be0	string	0x140001ea0	PCWProtector.exe
0x1400026ef	0x140002c00	string	0x140001ea0	@UVWATAUAVAW
0x140002725	0x14004a690	import	0x140001ea0	KERNEL32.dll.OpenProcess
0x140002733	0x1400556bc	string	0x140001ea0	ntdll
0x14000273a	0x14004a590	import	0x140001ea0	KERNEL32.dll.GetModuleHandleA
0x140002743	0x1400556a8	string	0x140001ea0	NtSuspendProcess
0x14000274a	0x14004a5f0	import	0x140001ea0	KERNEL32.dll.GetProcAddress
0x140002758	0x14004a688	import	0x140001ea0	KERNEL32.dll.CloseHandle
0x140002768	0x14004a688	import	0x140001ea0	KERNEL32.dll.CloseHandle
0x14000277e	0x140054bf8	string	0x140001ea0	TDepend.exe
0x14000278a	0x140054c08	string	0x140001ea0	TDepend64.exe
0x1400027a0	0x14004a000	import	0x140001ea0	ADVAPI32.dll.OpenSCManagerA
0x1400027ab	0x14004a570	import	0x140001ea0	KERNEL32.dll.GetLastError
0x1400027bb	0x140054c18	string	0x140001ea0	PCWProtectorService64.exe
0x1400027c7	0x140054c38	string	0x140001ea0	PCWProtectorDummy64.exe
0x1400027dd	0x14004a000	import	0x140001ea0	ADVAPI32.dll.OpenSCManagerA
0x1400027e8	0x14004a570	import	0x140001ea0	KERNEL32.dll.GetLastError
0x1400027f8	0x140054be0	string	0x140001ea0	PCWProtector.exe
0x14000280e	0x14004a690	import	0x140001ea0	KERNEL32.dll.OpenProcess
0x14000281c	0x1400556bc	string	0x140001ea0	ntdll
0x140002823	0x14004a590	import	0x140001ea0	KERNEL32.dll.GetModuleHandleA
0x14000282c	0x1400556a8	string	0x140001ea0	NtSuspendProcess
0x140002833	0x14004a5f0	import	0x140001ea0	KERNEL32.dll.GetProcAddress
0x140002841	0x14004a688	import	0x140001ea0	KERNEL32.dll.CloseHandle
0x140002851	0x14004a688	import	0x140001ea0	KERNEL32.dll.CloseHandle
0x140002857	0x140054be0	string	0x140001ea0	PCWProtector.exe
0x140002885	0x14004a690	import	0x140001ea0	KERNEL32.dll.OpenProcess
0x140002898	0x14004a678	import	0x140001ea0	KERNEL32.dll.TerminateProcess
0x1400028a1	0x14004a688	import	0x140001ea0	KERNEL32.dll.CloseHandle
0x1400028fc	0x14004a618	import	0x140001ea0	KERNEL32.dll.GetModuleFileNameA
0x14000290a	0x14004a788	import	0x140001ea0	SHLWAPI.dll.PathRemoveFileSpecA
0x140002918	0x14004a780	import	0x140001ea0	SHLWAPI.dll.PathAddBackslashA
0x140002939	0x140054c50	string	0x140001ea0	PCW.ocx
0x140002955	0x14004a5f8	import	0x140001ea0	KERNEL32.dll.LoadLibraryA
0x140002963	0x1400555e0	string	0x140001ea0	DllUnregisterServer
0x14000296d	0x14004a5f0	import	0x140001ea0	KERNEL32.dll.GetProcAddress
0x14000297b	0x14004a5e8	import	0x140001ea0	KERNEL32.dll.FreeLibrary
0x140002988	0x14004a5e8	import	0x140001ea0	KERNEL32.dll.FreeLibrary
0x1400029b2	0x14004a618	import	0x140001ea0	KERNEL32.dll.GetModuleFileNameA
0x1400029c0	0x14004a788	import	0x140001ea0	SHLWAPI.dll.PathRemoveFileSpecA
0x1400029ce	0x14004a780	import	0x140001ea0	SHLWAPI.dll.PathAddBackslashA
0x1400029ec	0x140054c58	string	0x140001ea0	PCW64.ocx
0x140002a0b	0x14004a5f8	import	0x140001ea0	KERNEL32.dll.LoadLibraryA
0x140002a1d	0x1400555e0	string	0x140001ea0	DllUnregisterServer
0x140002a27	0x14004a5f0	import	0x140001ea0	KERNEL32.dll.GetProcAddress
0x140002a35	0x14004a5e8	import	0x140001ea0	KERNEL32.dll.FreeLibrary
0x140002a45	0x14004a5e8	import	0x140001ea0	KERNEL32.dll.FreeLibrary
0x140002a67	0x14004a618	import	0x140001ea0	KERNEL32.dll.GetModuleFileNameA
0x140002a75	0x14004a788	import	0x140001ea0	SHLWAPI.dll.PathRemoveFileSpecA
0x140002a83	0x14004a780	import	0x140001ea0	SHLWAPI.dll.PathAddBackslashA
0x140002aa1	0x140054c50	string	0x140001ea0	PCW.ocx
0x140002ac0	0x14004a5f8	import	0x140001ea0	KERNEL32.dll.LoadLibraryA
0x140002ace	0x1400555e0	string	0x140001ea0	DllUnregisterServer
0x140002ad8	0x14004a5f0	import	0x140001ea0	KERNEL32.dll.GetProcAddress
0x140002ae6	0x14004a5e8	import	0x140001ea0	KERNEL32.dll.FreeLibrary
0x140002af3	0x14004a5e8	import	0x140001ea0	KERNEL32.dll.FreeLibrary
0x140002afb	0x1400549d8	string	0x140001ea0	SeDebugPrivilege
0x140002b07	0x140054c68	string	0x140001ea0	SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\RunOnce
0x140002b0e	0x140054ca8	string	0x140001ea0	SOFTWARE\Microsoft\Windows\CurrentVersion\RunOnce
0x140002b37	0x14004a090	import	0x140001ea0	ADVAPI32.dll.RegOpenKeyExA
0x140002b41	0x1400549c8	string	0x140001ea0	PCWProtector
0x140002b4d	0x14004a088	import	0x140001ea0	ADVAPI32.dll.RegDeleteValueA
0x140002b58	0x14004a080	import	0x140001ea0	ADVAPI32.dll.RegCloseKey
0x140002b63	0x14004a670	import	0x140001ea0	KERNEL32.dll.Sleep
0x140002b69	0x140054bf8	string	0x140001ea0	TDepend.exe
0x140002b75	0x140054c08	string	0x140001ea0	TDepend64.exe
0x140002bcf	0x14002f740	string	0x140001ea0	H;\r)c
0x140002d0f	0x14004a690	import	0x140002c00	KERNEL32.dll.OpenProcess
0x140002d6b	0x140005450	string	0x140002c00	@VWATH
0x140002e92	0x14004a688	import	0x140002c00	KERNEL32.dll.CloseHandle
0x140002ec8	0x14002f740	string	0x140002c00	H;\r)c
0x1400034d9	0x14004a668	import	0x140003480	KERNEL32.dll.GetCurrentProcess
0x140003504	0x14004a790	import	0x140003480	SHLWAPI.dll.PathFindFileNameA
0x140003540	0x14004a788	import	0x140003480	SHLWAPI.dll.PathRemoveFileSpecA
0x140003575	0x14004a780	import	0x140003480	SHLWAPI.dll.PathAddBackslashA
0x1400035d1	0x14004a660	import	0x140003480	KERNEL32.dll.FindFirstFileA
0x14000374f	0x1400552a4	string	0x140003480	.log
0x1400037c3	0x14004a788	import	0x140003480	SHLWAPI.dll.PathRemoveFileSpecA
0x1400037d1	0x14004a780	import	0x140003480	SHLWAPI.dll.PathAddBackslashA
0x1400038cd	0x14004a658	import	0x140003480	KERNEL32.dll.FindNextFileA
0x140003916	0x14004a650	import	0x140003480	KERNEL32.dll.FindClose
0x140003929	0x14002f740	string	0x140003480	H;\r)c
0x1400039ca	0x14004a788	import	0x140003950	SHLWAPI.dll.PathRemoveFileSpecA
0x140003a1a	0x1400552ac	string	0x140003950	.bat
0x140003aa9	0x14004a648	import	0x140003950	KERNEL32.dll.CreateFileA
0x140003afb	0x14004a780	import	0x140003950	SHLWAPI.dll.PathAddBackslashA
