reference_vaddr	symbol_addr	symbol_type	caller_function	data
0x401ca6	0x401cb6	string	0x401c0c	<dXt
0x402006	0x411fb1	string	0x401f7e	SUVW
0x402077	0x403a3c	string	0x401f7e	QSUV
0x402451	0x402455	string	0x4023cc	Vj\ah
0x40249b	0x4022fb	string	0x402478	SVW3۾l blocks=Basic Latin,Arabic
0x4024a7	0x4022fb	string	0x402478	SVW3۾l blocks=Basic Latin,Arabic
0x4024cc	0x4022fb	string	0x4024b6	SVW3۾l blocks=Basic Latin,Arabic
0x402523	0x40235f	string	0x4024da	SUVWQj
0x402560	0x40235f	string	0x40254a	SUVWQj
0x402591	0x4022fb	string	0x40256e	SVW3۾l blocks=Basic Latin,Arabic
0x4025dc	0x4022fb	string	0x4025ac	SVW3۾l blocks=Basic Latin,Arabic
0x4025e8	0x4022fb	string	0x4025ac	SVW3۾l blocks=Basic Latin,Arabic
0x402665	0x4022fb	string	0x4025ac	SVW3۾l blocks=Basic Latin,Arabic
0x402673	0x4022fb	string	0x4025ac	SVW3۾l blocks=Basic Latin,Arabic
0x40267f	0x4022fb	string	0x4025ac	SVW3۾l blocks=Basic Latin,Arabic
0x40268b	0x4022fb	string	0x4025ac	SVW3۾l blocks=Basic Latin,Arabic
0x402697	0x4022fb	string	0x4025ac	SVW3۾l blocks=Basic Latin,Arabic
0x4026a3	0x4022fb	string	0x4025ac	SVW3۾l blocks=Basic Latin,Arabic
0x402739	0x40235f	string	0x40270d	SUVWQj
0x402745	0x4022fb	string	0x40270d	SVW3۾l blocks=Basic Latin,Arabic
0x402784	0x4022fb	string	0x402754	SVW3۾l blocks=Basic Latin,Arabic
0x402790	0x4022fb	string	0x402754	SVW3۾l blocks=Basic Latin,Arabic
0x40279c	0x4022fb	string	0x402754	SVW3۾l blocks=Basic Latin,Arabic
0x4027e1	0x4022fb	string	0x4027ab	SVW3۾l blocks=Basic Latin,Arabic
0x402ae5	0x4022fb	string	0x402a31	SVW3۾l blocks=Basic Latin,Arabic
0x402af1	0x4022fb	string	0x402a31	SVW3۾l blocks=Basic Latin,Arabic
0x402afd	0x4022fb	string	0x402a31	SVW3۾l blocks=Basic Latin,Arabic
0x402b09	0x4022fb	string	0x402a31	SVW3۾l blocks=Basic Latin,Arabic
0x402b15	0x4022fb	string	0x402a31	SVW3۾l blocks=Basic Latin,Arabic
0x402b21	0x4022fb	string	0x402a31	SVW3۾l blocks=Basic Latin,Arabic
0x402b2d	0x4022fb	string	0x402a31	SVW3۾l blocks=Basic Latin,Arabic
0x402b39	0x4022fb	string	0x402a31	SVW3۾l blocks=Basic Latin,Arabic
0x402b45	0x4022fb	string	0x402a31	SVW3۾l blocks=Basic Latin,Arabic
0x402b51	0x4022fb	string	0x402a31	SVW3۾l blocks=Basic Latin,Arabic
0x402bbf	0x40a1ab	string	0x402b61	SUVj\f
0x402c4c	0x404c3e	string	0x402b61	QSUVW
0x402cb5	0x402cbe	string	0x402cab	SUVW3
0x40322b	0x403234	string	0x402f53	_h3'
0x403521	0x40352f	string	0x4033aa	Pj h
0x403528	0x40352f	string	0x4033aa	Pj h
0x403a8d	0x403a91	string	0x403a3c	_^][Y
0x403b3e	0x403b42	string	0x403aee	_^][Y
0x403bcb	0x403bd0	string	0x403b4a	_^][
0x403d9e	0x403da2	string	0x403d5d	_^][
0x403dda	0x403dfe	string	0x403da9	+ƍ4s blocks=Basic Latin,Latin Extended-B
0x403df6	0x403dfe	string	0x403da9	+ƍ4s blocks=Basic Latin,Latin Extended-B
0x404000	0x40400e	string	0x403f63	Fj\r[;
0x404132	0x404136	string	0x404037	_^][YY
0x404473	0x40448e	string	0x40444f	f9*t
0x404483	0x40448e	string	0x40444f	f9*t
0x404599	0x403b4a	string	0x40457e	SUVW
0x4045f3	0x403b4a	string	0x4045de	SUVW
0x404666	0x403a3c	string	0x40464e	QSUV
0x40475d	0x4048b0	string	0x404708	_^][
0x404770	0x4048b0	string	0x404708	_^][
0x404a6b	0x404a91	string	0x404925	_^][
0x404eaf	0x404eb5	string	0x404e97	j@Y+ȋ blocks=Basic Latin,Latin Extended-B
0x4055a3	0x4055c3	string	0x4052fc	_^]3
0x4056f1	0x4057b9	string	0x4055cf	_^][
0x405784	0x4057b9	string	0x4055cf	_^][
0x4058e9	0x4059b4	string	0x4057c1	_^][
0x40597f	0x4059b4	string	0x4057c1	_^][
0x405d0e	0x405c1c	string	0x405cfb	QQSUV
0x405d21	0x405c8a	string	0x405cfb	QQSUW
0x40604b	0x4071fb	string	0x406015	QSUVW
0x406127	0x4061c2	string	0x4060b1	_^][
